type	name	description	unit

# Simulated input
inputSim	r_surf_in	Lateral surface inflow	m/s
inputSim	r_sub_in	Lateral subsurface inflow	m/s


# external input
# Common meteorological variables
inputExt	precip	Precipitation	mm
inputExt	temper	Air temperature	°C
inputExt	temper_min	Minimum temperature within time step	°C
inputExt	temper_max	Maximum temperature within time step	°C
inputExt	glorad	Downward short-wave radiation	W/m2
inputExt	rhum	Relative humidity	%
inputExt	wind	Wind speed	m/s
inputExt	apress	Air pressure	hPa
inputExt	sundur	Sunshine duration of current day	hours
inputExt	cloud	Cloudiness	percent
# Vegetation and land-cover
inputExt	cano_height	Height of canopy (optional)	m
inputExt	lai	Leaf area index	m2/m2
inputExt	alb	Albedo	dimensionless
inputExt	rootd	Root depth	m
# Quantities of energy balance (can be calculated internally or given as input)
inputExt	radex	Incoming radiation at top of atmosphere	W/m2
inputExt	glorad_max	Maximum downward short-wave radiation	W/m2
inputExt	rad_net	Net incoming (short-wave + long-wave) radiation	W/m2
inputExt	rad_net_soil	Net incoming (short-wave + long-wave) radiation hitting the soil surface	W/m2
inputExt	rad_long	Net incoming long-wave radiation	W/m2
inputExt	soilheat	Soil heat flux	W/m2
inputExt	totalheat	Heat conduction into soil AND plants due to physical and biochemical energy storage	W/m2
# Computational variables
inputExt	doy	Current day of the year (julian day)	dimensionless
inputExt	hour	Hour of day in local time (including daylight daving time), range of [0..23]	hour of day
inputExt	utc_add	Deviation of local time zone from UTC; may vary over the year due to daylight saving time; range of [-12..14]	hours


# state variables (mostly needed for internal uses and output control as simulate() needs information from derivsScal())
stateVect	wc	Actual water content for each horizon	m3/m3
stateVect	w_eta	Weight for each horizon to distribute actual evapotranspiration outflow	dimensionless
stateVect	mat_pot	Matric potential / soil hydraulic head / capillary suction	(m of water) or (100 hPa)
stateVect	k_u	Actual soil hydraulic conductivity	m/s
stateScal	runst_surf_sat	Surface runoff: saturation excess	m
stateScal	runst_surf_inf	Surface runoff: infiltration excess	m
stateScal	runst_surf	Surface runoff: total	m
stateScal	runst_sub	Subsurface runoff	m
stateScal	runst_gw	Groundwater storage	m
stateScal	v_interc	Water in interception storage	m
stateScal	s_longrad	State of long-wave radiation; to account for nighttimes in case of sub-daily resolution (specifically the cloudiness correction factor; assume persistency of last daytime value)	W/m2
stateScal	et_p	Potential evapotranspiration (for output in simulate)	m
stateScal	et_a	Actual evapotranspiration (for output in simulate)	m
stateScal	et_i	Evaporation from interception storage (for output in simulate)	m
stateScal	r_interc	Interception of rainfall (for output in simulate)	m


# parameters #
# Soil parameters (look-up tables with entry for each soil layer)
paramFun	hor_depth	Thickness of soil horizon	m
paramFun	wc_sat	Volumetric water content at saturation	m3/m3
paramFun	wc_fc	Volumetric water content at field capacity	m3/m3
paramFun	wc_pwp	Volumetric water content at permanent wilting point	m3/m3
paramFun	wc_res	Residual volumetric water content	m3/m3
paramFun	ksat	Saturated hydraulic conductivity	m/s
paramFun	suc	Suction at wetting front	m of water or 100 hPa
paramFun	pores_ind	Pore-size-index	dimensionless
paramFun	bubble	Bubbling pressure	m of water or 100 hPa
# parameters, site-specific (numeric)
paramNum	frac_area	Areal fraction of SVC in TC	m2/m2
paramNum	lat	Latitude of location	decimal degrees
paramNum	lon	Longitude of location	decimal degrees west of Greenwhich, e.g. Greenwich: 0°, New York: 75°, Berlin: 345°
paramNum	elev	Elevation above sea level	m
paramNum	soil_depth	Depth of soil profile (sum of hor_depth)	m
paramNum	soil_dens	Bulk density of top horizon of soil (where evaporation occurs)	kg/m3
paramNum	slopelength	Average slopelength of soil unit (in flow direction)	m
paramNum	slope	Average slope of soil unit (in flow direction)	m/m
paramNum	bedrock	Bedrock under soil profile: 1: yes, drainage into bedrock limited by conductivity of bedrock; 0: no, free drainage below soil profile (matric pot. gradient zero; persistence of conductivity of last soil layer)	dimensionless
# Vegetation and land-cover
paramNum	crop_makk	Crop-factor for calculation of pot. evapotransp. after Makkink	dimensionless
paramNum	crop_faoref	Crop-factor for FAO reference approach	dimensionless
paramNum	wc_etmax	Parameter giving the volumetric water content where et_act equals et_pot, typically wc_etmax / wc_fk = [0.5..0.8]	m3/m3
paramNum	intfc	Interception capacity per unit LAI	m
paramNum	res_leaf_min	Plant-specific minimum (i.e. no stress occurs) stomatal resistance of a single leaf	sm-1
paramNum	wstressmin	Matric potential threshold for water stress effect on resistance (begin of stomata closure)	m of water or 100 hPa
paramNum	wstressmax	Matric potential threshold for water stress effect on resistance (total stomata closure, wilting point)	m of water or 100 hPa
paramNum	par_stressHum	Parameter to calculate water vapour deficit stomatal conductance stress factor - in WASA a value of 0.03	1/hPa
paramNum	glo_half	Solar radiation at which stomatal conductance is half of its maximum (species-specific)	W/m2
# Infiltration parameters
paramNum	Hort_ini	Horton parameter: initial infiltration rate	m/s
paramNum	Hort_end	Horton parameter: final infiltration rate	m/s
