SubCatch	Aquer	a	b	hmax	slope_bog	maxVol	Breite_Damm
1	62.378866124	1.78	2.09	5.9198232078	0.3312252275	407.8217587753	21.0745706197
2	54.7869161179	1.78	2.09	5.5478974719	0.5205690738	200.1810691857	19.7505149998
3	109.0265049267	1.78	2.09	7.8262919358	0.3015705966	1068.3372250067	27.8615992915
4	27.8452552581	1.78	2.09	3.9551740582	0.7319157614	44.8999948357	14.0804196471
5	46.0754261547	1.78	2.09	5.0877373039	0.3818253276	218.7277710437	18.1123448019
6	81.9903690237	1.78	2.09	6.7868995182	0.8133770596	202.3072075767	24.1613622846
7	52.8754123065	1.78	2.09	5.4502557566	0.8406383545	97.2547364252	19.4029104936
8	26.9768266217	1.78	2.09	3.8930091926	1.0776662252	20.6420912695	13.8591127258
9	23.5082123882	1.78	2.09	3.6341245015	0.9308478984	23.1174760476	12.9374832253
10	53.756193883	1.78	2.09	5.4954625759	0.4434301283	234.6396836224	19.5638467702
11	84.6498935361	1.78	2.09	6.8960945443	0.497579983	413.8225557354	24.5500965778
12	83.2475855635	1.78	2.09	6.8387357382	1.2122593854	82.0841390113	24.3458992278
13	82.327215983	1.78	2.09	6.8008267831	1.1559810456	94.8185112776	24.210943348
14	48.3414150146	1.78	2.09	5.2113432359	0.3747077778	240.5049955772	18.55238192
16	78.2350453243	1.78	2.09	6.6296510205	1.1351753182	92.6260687266	23.6015576331
17	21.0216650883	1.78	2.09	3.436557028	0.6642277761	33.3715313894	12.2341430198
18	77.7504321574	1.78	2.09	6.6090860235	1.1561538052	86.7582790484	23.5283462436
19	54.4524830283	1.78	2.09	5.5309386726	1.2450004388	38.4072855674	19.6901416745
20	50.6400318427	1.78	2.09	5.3338031545	0.8878900021	82.6708605975	18.9883392302
21	58.2870979699	1.78	2.09	5.7223736908	1.1115309473	62.4551591291	20.3716503393
22	21.8244503742	1.78	2.09	3.5015606773	1.0492173978	15.9089390064	12.465556011
23	80.3585239513	1.78	2.09	6.7190206262	0.8473567091	183.1817543459	23.9197134292
24	78.7448050526	1.78	2.09	6.651214515	1.0892407843	105.0476242092	23.6783236732
25	79.4084986679	1.78	2.09	6.6791852876	0.9493980572	145.8087210019	23.7778996237
26	77.6458874893	1.78	2.09	6.6046411792	1.0005158584	126.1538278211	23.5125225981
27	80.4743311298	1.78	2.09	6.7238603783	0.9711034001	142.1215773846	23.9369429469
28	80.2221716411	1.78	2.09	6.7133177903	0.9844785369	137.4104468543	23.8994113334
29	78.2227364263	1.78	2.09	6.629129471	1.309129942	53.2823610127	23.5997009167
30	78.8854013674	1.78	2.09	6.6571496316	1.2409829014	69.0001690551	23.6994526885
31	77.9632039603	1.78	2.09	6.6181230562	0.9630755791	137.6730859096	23.56051808
32	76.9164116134	1.78	2.09	6.5735429715	0.9975117992	125.1508450194	23.4018129786
33	47.4526326393	1.78	2.09	5.1632143459	0.993743902	59.833113707	18.3810430714
34	48.0205957975	1.78	2.09	5.1940218336	1.1303908279	44.1208115723	18.4907177275
35	36.8364117449	1.78	2.09	4.5491332515	0.2702256697	224.3776388946	16.1949143753
36	69.5047536394	1.78	2.09	6.2488090389	0.3622786956	437.3490918682	22.2457601784
37	11.8658062762	1.78	2.09	2.5818952925	0.483611004	20.559830588	9.1915472412
38	34.8430455552	1.78	2.09	4.4243355087	0.5343052599	96.3872265948	15.7506344111
39	13.5035921129	1.78	2.09	2.7543216413	0.6346082973	17.9107161016	9.8053850431
