date	rhumid
2002-01-01	99
2002-01-02	99
2002-01-03	97
2002-01-04	66
2002-01-05	19
2002-01-06	59
2002-01-07	98
2002-01-08	73
2002-01-09	53
2002-01-10	32
2002-01-11	75
2002-01-12	99
2002-01-13	98
2002-01-14	66
2002-01-15	49
2002-01-16	75
2002-01-17	84
2002-01-18	82
2002-01-19	100
2002-01-20	99
2002-01-21	100
2002-01-22	96
2002-01-23	99
2002-01-24	99
2002-01-25	99
2002-01-26	99
2002-01-27	99
2002-01-28	99
2002-01-29	69
2002-01-30	91
2002-01-31	77
2002-02-01	99
2002-02-02	70
2002-02-03	34
2002-02-04	67
2002-02-05	88
2002-02-06	99
2002-02-07	99
2002-02-08	99
2002-02-09	99
2002-02-10	99
2002-02-11	99
2002-02-12	100
2002-02-13	100
2002-02-14	96
2002-02-15	89
2002-02-16	76
2002-02-17	89
2002-02-18	97
2002-02-19	99
2002-02-20	99
2002-02-21	99
2002-02-22	96
2002-02-23	99
2002-02-24	99
2002-02-25	99
2002-02-26	100
2002-02-27	99
2002-02-28	99
2002-03-01	95
2002-03-02	99
2002-03-03	94
2002-03-04	99
2002-03-05	82
2002-03-06	66
2002-03-07	99
2002-03-08	84
2002-03-09	72
2002-03-10	75
2002-03-11	57
2002-03-12	46
2002-03-13	67
2002-03-14	99
2002-03-15	99
2002-03-16	85
2002-03-17	43
2002-03-18	68
2002-03-19	99
2002-03-20	100
2002-03-21	99
2002-03-22	99
2002-03-23	99
2002-03-24	99
2002-03-25	99
2002-03-26	99
2002-03-27	99
2002-03-28	99
2002-03-29	62
2002-03-30	39
2002-03-31	62
2002-04-01	71
2002-04-02	72
2002-04-03	78
2002-04-04	56
2002-04-05	62
2002-04-06	98
2002-04-07	81
2002-04-08	70
2002-04-09	71
2002-04-10	90
2002-04-11	100
2002-04-12	100
2002-04-13	99
2002-04-14	100
2002-04-15	100
2002-04-16	94
2002-04-17	96
2002-04-18	96
2002-04-19	96
2002-04-20	99
2002-04-21	91
2002-04-22	99
2002-04-23	88
2002-04-24	99
2002-04-25	99
2002-04-26	95
2002-04-27	97
2002-04-28	89
2002-04-29	96
2002-04-30	77
2002-05-01	62
2002-05-02	98
2002-05-03	99
2002-05-04	99
2002-05-05	99
2002-05-06	99
2002-05-07	97
2002-05-08	84
2002-05-09	74
2002-05-10	94
2002-05-11	96
2002-05-12	99
2002-05-13	99
2002-05-14	82
2002-05-15	85
2002-05-16	72
2002-05-17	71
2002-05-18	88
2002-05-19	96
2002-05-20	99
2002-05-21	93
2002-05-22	94
2002-05-23	91
2002-05-24	99
2002-05-25	98
2002-05-26	99
2002-05-27	95
2002-05-28	99
2002-05-29	96
2002-05-30	83
2002-05-31	81
2002-06-01	86
2002-06-02	80
2002-06-03	78
2002-06-04	67
2002-06-05	85
2002-06-06	99
2002-06-07	99
2002-06-08	99
2002-06-09	99
2002-06-10	98
2002-06-11	93
2002-06-12	96
2002-06-13	97
2002-06-14	99
2002-06-15	99
2002-06-16	95
2002-06-17	79
2002-06-18	75
2002-06-19	88
2002-06-20	81
2002-06-21	97
2002-06-22	82
2002-06-23	92
2002-06-24	96
2002-06-25	78
2002-06-26	64
2002-06-27	72
2002-06-28	86
2002-06-29	91
2002-06-30	79
2002-07-01	72
2002-07-02	98
2002-07-03	93
2002-07-04	99
2002-07-05	79
2002-07-06	82
