date	snowht
2002-01-01	160
2002-01-02	155
2002-01-03	150
2002-01-04	145
2002-01-05	145
2002-01-06	142
2002-01-07	142
2002-01-08	142
2002-01-09	134
2002-01-10	127
2002-01-11	123
2002-01-12	122
2002-01-13	122
2002-01-14	122
2002-01-15	120
2002-01-16	120
2002-01-17	120
2002-01-18	120
2002-01-19	120
2002-01-20	121
2002-01-21	130
2002-01-22	115
2002-01-23	115
2002-01-24	115
2002-01-25	115
2002-01-26	106
2002-01-27	98
2002-01-28	90
2002-01-29	90
2002-01-30	90
2002-01-31	87
2002-02-01	82
2002-02-02	75
2002-02-03	75
2002-02-04	72
2002-02-05	70
2002-02-06	65
2002-02-07	65
2002-02-08	68
2002-02-09	66
2002-02-10	65
2002-02-11	66
2002-02-12	60
2002-02-13	65
2002-02-14	66
2002-02-15	65
2002-02-16	65
2002-02-17	64
2002-02-18	63
2002-02-19	60
2002-02-20	75
2002-02-21	83
2002-02-22	83
2002-02-23	91
2002-02-24	95
2002-02-25	100
2002-02-26	103
2002-02-27	95
2002-02-28	97
2002-03-01	90
2002-03-02	85
2002-03-03	85
2002-03-04	85
2002-03-05	85
2002-03-06	82
2002-03-07	78
2002-03-08	78
2002-03-09	78
2002-03-10	75
2002-03-11	75
2002-03-12	70
2002-03-13	68
2002-03-14	67
2002-03-15	68
2002-03-16	64
2002-03-17	60
2002-03-18	56
2002-03-19	52
2002-03-20	55
2002-03-21	55
2002-03-22	56
2002-03-23	65
2002-03-24	83
2002-03-25	90
2002-03-26	88
2002-03-27	85
2002-03-28	83
2002-03-29	80
2002-03-30	78
2002-03-31	68
2002-04-01	63
2002-04-02	60
2002-04-03	56
2002-04-04	51
2002-04-05	48
2002-04-06	47
2002-04-07	47
2002-04-08	46
2002-04-09	45
2002-04-10	45
2002-04-11	41
2002-04-12	40
2002-04-13	38
2002-04-14	35
2002-04-15	38
2002-04-16	38
2002-04-17	35
2002-04-18	34
2002-04-19	32
2002-04-20	28
2002-04-21	25
2002-04-22	20
2002-04-23	17
2002-04-24	15
2002-04-25	12
2002-04-26	0
2002-04-27	0
2002-04-28	5
2002-04-29	0
2002-04-30	0
2002-05-01	0
2002-05-02	0
2002-05-03	0
2002-05-04	0
2002-05-05	0
2002-05-06	0
2002-05-07	0
2002-05-08	0
2002-05-09	0
2002-05-10	0
2002-05-11	0
2002-05-12	0
2002-05-13	0
2002-05-14	0
2002-05-15	0
2002-05-16	0
2002-05-17	0
2002-05-18	0
2002-05-19	0
2002-05-20	0
2002-05-21	0
2002-05-22	0
2002-05-23	0
2002-05-24	0
2002-05-25	0
2002-05-26	0
2002-05-27	0
2002-05-28	0
2002-05-29	0
2002-05-30	0
2002-05-31	0
2002-06-01	0
2002-06-02	0
2002-06-03	0
2002-06-04	0
2002-06-05	0
2002-06-06	0
2002-06-07	0
2002-06-08	0
2002-06-09	0
2002-06-10	0
2002-06-11	0
2002-06-12	0
2002-06-13	0
2002-06-14	0
2002-06-15	0
2002-06-16	0
2002-06-17	0
2002-06-18	0
2002-06-19	0
2002-06-20	0
2002-06-21	0
2002-06-22	0
2002-06-23	0
2002-06-24	0
2002-06-25	0
2002-06-26	0
2002-06-27	0
2002-06-28	0
2002-06-29	0
2002-06-30	0
2002-07-01	0
2002-07-02	0
2002-07-03	0
2002-07-04	0
2002-07-05	0
2002-07-06	0
2002-07-07	0
2002-07-08	0
2002-07-09	0
2002-07-10	0
2002-07-11	0
2002-07-12	0
2002-07-13	0
2002-07-14	0
2002-07-15	0
2002-07-16	0
2002-07-17	0
2002-07-18	0
2002-07-19	0
2002-07-20	0
2002-07-21	0
2002-07-22	0
2002-07-23	0
2002-07-24	0
2002-07-25	0
