date	snowwe
2002-01-02	449.5
2002-01-04	435
2002-01-07	454.4
2002-01-09	442.2
2002-01-11	344.4
2002-01-14	329.4
2002-01-16	336
2002-01-18	408
2002-01-21	442
2002-01-23	379.5
2002-01-25	345
2002-01-28	423
2002-01-30	396
2002-02-01	262.4
2002-02-04	244.8
2002-02-06	221
2002-02-08	224.4
2002-02-11	211.2
2002-02-13	19.5
2002-02-15	195
2002-02-18	176.4
2002-02-20	195
2002-02-22	232.4
2002-02-25	310
2002-02-27	323
2002-03-01	27
2002-03-04	238
2002-03-06	278.8
2002-03-08	257.4
2002-03-11	225
2002-03-13	224.4
2002-03-15	204
2002-03-18	173.6
2002-03-20	187
2002-03-22	207.2
2002-03-25	225
2002-03-27	212.5
2002-03-29	248
2002-04-01	214.2
2002-04-03	179.2
2002-04-05	168
2002-04-08	165.6
2002-04-10	162
2002-04-12	148
2002-04-15	125.4
2002-04-17	115.5
2002-04-19	92.8
2002-04-22	52
2002-04-24	36
2002-09-25	21
2002-11-11	111
2002-11-13	95.7
2002-11-15	51
2002-11-20	31.2
2002-11-22	21
2002-11-25	44.1
2002-12-02	44.8
2002-12-04	51.2
2002-12-06	39.6
2002-12-09	29.7
2002-12-11	31.5
2002-12-13	30.6
2002-12-16	32
2002-12-18	58.9
2002-12-20	38
2002-12-23	45.6
2002-12-25	55.1
2002-12-27	47.6
2002-12-30	43.4
2003-01-01	26
2003-01-06	22
2003-01-08	31.2
2003-01-10	22
2003-01-13	28.6
2003-01-15	71.4
2003-01-17	58.8
2003-01-20	63
2003-01-22	74
2003-01-24	92.4
2003-01-27	89.9
2003-01-29	85.8
2003-01-31	142.8
2003-02-03	151.2
2003-02-05	148.2
2003-02-07	12.8
2003-02-10	176.4
2003-02-12	155
2003-02-14	161.2
2003-02-17	156
2003-02-19	145.6
2003-02-21	153.7
2003-02-24	140
2003-02-26	126.9
2003-02-28	117
2003-03-03	109.2
2003-03-05	130.2
2003-03-07	138.6
2003-03-10	157.5
2003-03-12	151.6
2003-03-14	159.6
2003-03-17	156
2003-03-19	144.3
2003-03-21	148
2003-03-24	151.2
2003-03-26	131.2
2003-03-28	110.4
2003-03-31	100.8
2003-04-02	110
2003-04-04	115.2
2003-04-07	148.2
2003-04-09	141.9
2003-04-11	129.6
2003-04-14	111.6
2003-04-16	102.6
2003-04-18	40
2003-04-21	99
2003-10-08	23
2003-10-22	11.5
2003-10-24	22.4
2003-10-27	31.2
2003-10-29	33.8
2003-10-31	36.3
2003-12-08	12
2003-12-10	11.9
2003-12-12	16
2003-12-15	41.8
2003-12-17	52.5
2003-12-19	52.9
2003-12-22	44.1
2003-12-24	74
2003-12-26	75.9
2003-12-29	72
2003-12-31	78
2004-01-02	83.2
2004-01-05	119.6
2004-01-07	143
2004-01-09	158.6
2004-01-12	172.8
2004-01-14	267.3
2004-01-16	285.2
2004-01-19	270
2004-01-21	333
2004-01-23	333
2004-01-26	330
2004-01-28	330
2004-01-30	356.4
2004-02-02	351.5
2004-02-04	347.6
2004-02-06	265.2
2004-02-09	240.8
2004-02-11	300
2004-02-13	323.4
2004-02-16	371.3
2004-02-18	270
2004-02-20	297.5
2004-02-23	273
2004-02-25	284.9
2004-02-27	257.4
2004-03-01	294
2004-03-03	303.4
2004-03-05	275.4
2004-03-08	264
2004-03-10	266.6
2004-03-12	263.5
2004-03-15	234.3
2004-03-17	264
2004-03-19	255.2
2004-03-22	183.6
2004-03-24	210.9
2004-03-26	240.5
2004-03-29	218.4
2004-03-31	205
2004-04-02	220.5
2004-04-05	156.8
2004-04-07	132.6
2004-04-09	144.3
2004-04-12	118.4
2004-04-14	115.5
2004-04-16	90
2004-04-19	39.6
2004-05-24	20.8
2004-11-08	54
2004-11-10	56.1
2004-11-12	112.5
2004-11-15	71.4
2004-11-17	170
2004-11-19	126
2004-11-22	241.8
2004-11-24	188.5
2004-11-26	144
2004-11-29	157.5
2004-12-01	167.4
2004-12-03	170.1
2004-12-06	179.8
2004-12-08	180
2004-12-10	154
2004-12-13	130
2004-12-15	140.4
2004-12-17	148.4
2004-12-20	221
2004-12-22	232.4
2004-12-24	240
2004-12-27	322
2004-12-29	272.6
2004-12-31	285.2
2005-01-03	288
2005-01-05	294.5
2005-01-07	300
2005-01-10	285.2
2005-01-12	287.1
2005-01-14	272.8
2005-01-17	264
2005-01-19	257.3
2005-01-21	391
2005-01-24	391.5
2005-01-26	387.5
2005-01-28	489.8
2005-01-31	492.9
2005-02-02	558
2005-02-04	620.4
2005-02-07	569.6
2005-02-09	545.6
2005-02-11	555
2005-02-14	627
2005-02-16	594
2005-02-18	782.8
2005-02-21	656
2005-02-23	788.1
2005-02-25	756
2005-02-28	810
2005-03-02	794.5
2005-03-04	880
2005-03-07	881.5
2005-03-09	889.7
2005-03-11	868
2005-03-14	1000
2005-03-16	987
2005-03-18	877.2
2005-03-21	782.6
2005-03-23	774
2005-03-25	759
2005-03-28	607.2
2005-03-30	580.5
2005-04-01	584.2
2005-04-04	583.1
2005-04-06	550
2005-04-08	437
2005-04-11	423
2005-04-13	427.2
2005-04-15	401.8
2005-04-18	340
2005-04-22	202.1
2005-04-25	141
2005-04-27	115
2005-11-16	7.5
2005-11-18	44.2
2005-11-21	98
2005-11-23	104.5
2005-11-25	90
2005-11-28	96
2005-11-30	110
2005-12-02	90
2005-12-05	121.9
2005-12-07	122.4
2005-12-09	132.5
2005-12-12	131.6
