date	sunhrs
2002-01-01	0
2002-01-02	0
2002-01-03	8.1
2002-01-04	8.2
2002-01-05	8
2002-01-06	5
2002-01-07	0.2
2002-01-08	6.6
2002-01-09	8.3
2002-01-10	7.9
2002-01-11	4.6
2002-01-12	0
2002-01-13	1.6
2002-01-14	8.4
2002-01-15	8.5
2002-01-16	8.3
2002-01-17	5
2002-01-18	6.8
2002-01-19	0
2002-01-20	0
2002-01-21	0
2002-01-22	6
2002-01-23	1.6
2002-01-24	0
2002-01-25	1
2002-01-26	0
2002-01-27	0
2002-01-28	0
2002-01-29	8.6
2002-01-30	1.9
2002-01-31	4.5
2002-02-01	1.9
2002-02-02	6.8
2002-02-03	9.2
2002-02-04	7.5
2002-02-05	0
2002-02-06	0
2002-02-07	1.2
2002-02-08	0
2002-02-09	0
2002-02-10	0
2002-02-11	0
2002-02-12	0
2002-02-13	0
2002-02-14	3.7
2002-02-15	9.1
2002-02-16	9.9
2002-02-17	8.5
2002-02-18	1.1
2002-02-19	1.2
2002-02-20	0
2002-02-21	0
2002-02-22	0
2002-02-23	0.2
2002-02-24	0.3
2002-02-25	0
2002-02-26	0
2002-02-27	3
2002-02-28	4.4
2002-03-01	2
2002-03-02	0
2002-03-03	0.3
2002-03-04	0
2002-03-05	9.5
2002-03-06	6
2002-03-07	0
2002-03-08	7.2
2002-03-09	3.5
2002-03-10	7.7
2002-03-11	10.5
2002-03-12	5.2
2002-03-13	5.9
2002-03-14	0.1
2002-03-15	3.5
2002-03-16	7.4
2002-03-17	9.9
2002-03-18	10
2002-03-19	0
2002-03-20	0
2002-03-21	4.9
2002-03-23	3.1
2002-03-27	2
2002-03-28	12.1
2002-03-29	12.4
2002-03-30	12
2002-03-31	4
2002-04-01	4.9
2002-04-02	11.8
2002-04-03	12.1
2002-04-04	12.6
2002-04-05	8
2002-04-06	2.1
2002-04-07	8.2
2002-04-08	12.3
2002-04-09	7.3
2002-04-10	5.1
2002-04-11	0.1
2002-04-12	0
2002-04-13	0
2002-04-14	0
2002-04-15	0
2002-04-16	3.6
2002-04-17	1
2002-04-18	5.9
2002-04-19	3.1
2002-04-20	0
2002-04-21	5
2002-04-22	0.1
2002-04-23	5.2
2002-04-24	0
2002-04-25	0
2002-04-26	5.2
2002-04-27	3.5
2002-04-28	2
2002-04-29	5
2002-04-30	6.5
2002-05-01	7.2
2002-05-02	3
2002-05-03	1.6
2002-05-04	3.5
2002-05-05	2.8
2002-05-06	2.8
2002-05-07	5.3
2002-05-08	4.7
2002-05-09	12.6
2002-05-10	10.6
2002-05-11	3
2002-05-12	1
2002-05-13	2.6
2002-05-14	7.6
2002-05-15	4.1
2002-05-16	14.6
2002-05-17	10.9
2002-05-18	4.3
2002-05-19	0
2002-05-20	1.3
2002-05-21	3.6
2002-05-22	13.5
2002-05-23	4.9
2002-05-24	0.4
2002-05-25	0.6
2002-05-26	0.2
2002-05-27	0.8
2002-05-28	0
2002-05-29	8.9
2002-05-30	5
2002-05-31	5.5
2002-06-01	10.9
2002-06-02	15.2
2002-06-03	14.4
2002-06-04	13.9
2002-06-05	3.7
2002-06-06	0.1
2002-06-07	0
2002-06-08	0
2002-06-09	0.9
2002-06-10	1.7
2002-06-11	4.5
2002-06-12	6.1
2002-06-13	4.3
2002-06-14	4
2002-06-15	3.7
2002-06-16	5.3
2002-06-17	9.7
2002-06-18	15
2002-06-19	8.5
2002-06-20	11.2
2002-06-21	5
2002-06-22	9.9
2002-06-23	5.9
2002-06-24	1.1
2002-06-25	7.9
2002-06-26	9.5
2002-06-27	9.9
2002-06-28	4.8
2002-06-29	3.7
2002-06-30	7.6
2002-07-01	4.4
2002-07-02	0
2002-07-03	6.6
2002-07-04	0.5
2002-07-05	13.1
2002-07-06	3.4
2002-07-07	2.4
2002-07-08	14.6
2002-07-09	14.9
2002-07-10	8.6
2002-07-11	5.2
2002-07-12	13.3
2002-07-13	3.6
2002-07-14	1.1
2002-07-15	0
2002-07-16	0.2
2002-07-17	0
2002-07-18	0
2002-07-19	4.5
2002-07-20	6.3
2002-07-21	11.8
2002-07-22	1.5
2002-07-23	3.8
2002-07-24	0.1
2002-07-25	0.7
2002-07-26	0
2002-07-27	1
2002-07-28	14.6
2002-07-29	14
2002-07-30	13.2
2002-07-31	3.6
2002-08-02	1.9
2002-08-03	7.5
2002-08-04	0.7
2002-08-05	4.4
2002-08-06	3.7
2002-08-07	0
2002-08-08	0
2002-08-09	5.8
2002-08-10	2.6
2002-08-11	1
2002-08-12	0
2002-08-13	0
2002-08-14	0
2002-08-15	4.6
2002-08-16	0
2002-08-17	5.9
2002-08-18	12.6
2002-08-19	12.3
2002-08-20	13.1
2002-08-21	7.9
2002-08-22	4.9
2002-08-23	11.1
2002-08-24	8.1
2002-08-25	5.5
2002-08-26	11
2002-08-27	11.2
2002-08-28	6.1
2002-08-29	7
2002-08-30	3.2
2002-08-31	7.6
2002-09-01	1.6
2002-09-02	10.9
2002-09-03	4.2
2002-09-04	9.1
2002-09-05	0
2002-09-06	6.6
2002-09-07	9.4
2002-09-08	12.3
2002-09-09	11.7
2002-09-10	3.4
2002-09-11	1.7
2002-09-12	12.6
2002-09-13	12.3
2002-09-14	2.8
2002-09-15	2.5
2002-09-16	2.6
2002-09-17	0.8
2002-09-18	0.3
2002-09-19	2.3
2002-09-20	1.4
2002-09-21	0.4
2002-09-22	0.5
2002-09-23	0
2002-09-24	5
2002-09-25	0
2002-09-26	0
2002-09-27	0.2
2002-09-28	6.8
2002-09-29	1
2002-09-30	3.7
2002-10-01	8.6
2002-10-02	7.5
2002-10-03	2.6
2002-10-04	0.8
2002-10-05	1.7
2002-10-06	0.1
2002-10-07	0.3
2002-10-08	1.8
2002-10-09	0
2002-10-10	0
2002-10-11	0
2002-10-12	0
2002-10-13	0
2002-10-14	0
2002-10-15	1.1
2002-10-16	0.1
2002-10-17	0
2002-10-18	0.7
2002-10-19	0.8
2002-10-20	4.4
2002-10-21	0
2002-10-22	0
2002-10-23	1.4
2002-10-24	2.8
2002-10-25	0
2002-10-26	1.6
2002-10-27	0
2002-10-28	0.5
2002-10-29	1.7
2002-10-30	0
2002-10-31	1.7
2002-11-01	6.2
2002-11-02	0
2002-11-03	0
2002-11-04	0
2002-11-05	0
2002-11-06	9.4
2002-11-07	7.3
2002-11-08	0
2002-11-09	0
2002-11-10	0.6
2002-11-11	0
2002-11-12	0.9
2002-11-13	1.7
2002-11-14	3.3
2002-11-15	1.1
2002-11-16	1
2002-11-17	0.9
2002-11-18	0.7
2002-11-19	0
2002-11-20	2.2
2002-11-21	6.4
2002-11-22	2.1
2002-11-23	1.2
2002-11-24	6.2
2002-11-25	0
2002-11-26	0
2002-11-27	0
2002-11-28	3.8
2002-11-29	0.2
2002-11-30	0
2002-12-01	0.1
2002-12-02	0
2002-12-03	0
2002-12-04	0
2002-12-05	0
2002-12-06	0
2002-12-07	4.1
