date	windsp
2002-01-01	16.7
2002-01-02	18.5
2002-01-03	8.3
2002-01-04	4.7
2002-01-05	6.8
2002-01-06	12.5
2002-01-07	5.8
2002-01-08	2.7
2002-01-09	2.2
2002-01-10	3.3
2002-01-11	9.6
2002-01-12	8.1
2002-01-13	3.8
2002-01-14	4.3
2002-01-15	8.4
2002-01-16	4.9
2002-01-17	6.3
2002-01-18	8.1
2002-01-19	16.5
2002-01-20	17.7
2002-01-21	19.9
2002-01-22	16.6
2002-01-23	15.5
2002-01-24	17.6
2002-01-25	16
2002-01-26	22
2002-01-27	21
2002-01-28	22.5
2002-01-29	20.3
2002-01-30	15.6
2002-01-31	17.4
2002-02-01	15.9
2002-02-02	14
2002-02-03	10
2002-02-04	14.2
2002-02-05	16.1
2002-02-06	8.1
2002-02-07	9.4
2002-02-08	18.4
2002-02-09	17.9
2002-02-10	16.6
2002-02-11	22
2002-02-12	21
2002-02-13	8.6
2002-02-14	7.4
2002-02-15	13.4
2002-02-16	13.6
2002-02-17	7
2002-02-18	12.2
2002-02-19	16.8
2002-02-20	19
2002-02-21	14.2
2002-02-22	20.1
2002-02-23	18.1
2002-02-24	15.9
2002-02-25	13.4
2002-02-26	22.5
2002-02-27	17.1
2002-02-28	15.7
2002-03-01	12.5
2002-03-02	5.5
2002-03-03	11.6
2002-03-04	8.4
2002-03-05	3.7
2002-03-06	11.8
2002-03-07	22.4
2002-03-08	12.1
2002-03-09	11.9
2002-03-10	14.6
2002-03-11	11.3
2002-03-12	7.3
2002-03-13	8.4
2002-03-14	5.5
2002-03-15	4.8
2002-03-16	1.7
2002-03-17	4.6
2002-03-18	6.8
2002-03-19	15.2
2002-03-20	14.6
2002-03-21	13.1
2002-03-22	14.2
2002-03-23	13.4
2002-03-24	10.1
2002-03-25	2.9
2002-03-26	0.9
2002-03-27	3.8
2002-03-28	6.5
2002-03-29	8.8
2002-03-30	4.2
2002-03-31	2.2
2002-04-01	2
2002-04-02	7.1
2002-04-03	15.5
2002-04-04	10.5
2002-04-05	7.8
2002-04-06	6.3
2002-04-07	5.6
2002-04-08	10.2
2002-04-09	6.8
2002-04-10	8.8
2002-04-11	11.6
2002-04-12	10.5
2002-04-13	2.4
2002-04-14	6.5
2002-04-15	13.6
2002-04-16	7.4
2002-04-17	7
2002-04-18	5.2
2002-04-19	4.8
2002-04-20	5.4
2002-04-21	4.8
2002-04-22	2.4
2002-04-23	7.2
2002-04-24	6.4
2002-04-25	3.9
2002-04-26	9.7
2002-04-27	14.6
2002-04-28	11.4
2002-04-29	14.2
2002-04-30	12.5
2002-05-01	7.2
2002-05-02	4.7
2002-05-03	3.7
2002-05-04	4.5
2002-05-05	4.3
2002-05-06	3.7
2002-05-07	5.6
2002-05-08	13
2002-05-09	10.6
2002-05-10	6.5
2002-05-11	4
2002-05-12	2.9
2002-05-13	3.4
2002-05-14	11.1
2002-05-15	8.9
2002-05-16	5.2
2002-05-17	7.8
2002-05-18	3.2
2002-05-19	6.5
2002-05-20	4
2002-05-21	7.7
2002-05-22	6.6
2002-05-23	3.6
2002-05-24	8.2
2002-05-25	7.8
2002-05-26	3.8
2002-05-27	4
2002-05-28	7.7
2002-05-29	10.4
2002-05-30	3.7
2002-05-31	4.4
2002-06-01	5.9
2002-06-02	4.4
2002-06-03	5.1
2002-06-04	5.5
2002-06-05	16.3
2002-06-06	8.6
2002-06-07	5.5
2002-06-08	10.6
2002-06-09	3.5
2002-06-10	9.3
2002-06-11	9.3
2002-06-12	9.2
2002-06-13	13.1
2002-06-14	10.2
2002-06-15	11.3
2002-06-16	5.7
2002-06-17	4
2002-06-18	5.6
2002-06-19	5
2002-06-20	7.9
2002-06-21	5.6
2002-06-22	5.9
2002-06-23	7.7
2002-06-24	4.4
2002-06-25	3.5
2002-06-26	3.8
2002-06-27	9.2
2002-06-28	8.7
2002-06-29	10.4
2002-06-30	8.4
2002-07-01	10.8
2002-07-02	10.6
2002-07-03	8.9
2002-07-04	12.3
2002-07-05	5.9
2002-07-06	4.9
2002-07-07	6.4
2002-07-08	5.8
2002-07-09	7.2
2002-07-10	7.6
2002-07-11	7.2
2002-07-12	5.6
2002-07-13	6.6
2002-07-14	3.4
2002-07-15	5.5
2002-07-16	5.4
2002-07-17	5
2002-07-18	10.2
2002-07-19	7.8
2002-07-20	4
2002-07-21	8.6
2002-07-22	10.2
2002-07-23	11.1
2002-07-24	12.3
2002-07-25	7.9
2002-07-26	8
2002-07-27	3.1
2002-07-28	7.1
2002-07-29	6
2002-07-30	5.4
2002-07-31	2.2
2002-08-01	3.5
2002-08-02	4.4
2002-08-03	3.6
2002-08-04	4.1
2002-08-05	6.2
2002-08-06	3.6
2002-08-07	5.9
2002-08-08	2.9
2002-08-09	4.1
2002-08-10	6.3
2002-08-11	5.6
2002-08-12	17.5
2002-08-13	18.8
2002-08-14	11.9
2002-08-15	5.8
2002-08-16	4.5
2002-08-17	4.9
2002-08-18	6.7
2002-08-19	8.2
2002-08-20	6.8
2002-08-21	4.6
2002-08-22	2.9
2002-08-23	5.6
2002-08-24	5.5
2002-08-25	3.8
2002-08-26	10.1
2002-08-27	5.6
2002-08-28	2
2002-08-29	1.6
2002-08-30	2.3
2002-08-31	4.7
2002-09-01	8.8
2002-09-02	7
2002-09-03	9.7
2002-09-04	4.9
2002-09-05	5.5
2002-09-06	4.1
2002-09-07	3.5
2002-09-08	6.4
2002-09-09	8.7
2002-09-10	4.7
2002-09-11	4.3
2002-09-12	6.9
2002-09-13	5.4
2002-09-14	9.3
2002-09-15	10.2
2002-09-16	6.2
2002-09-17	9.2
2002-09-18	6.7
2002-09-19	3
2002-09-20	4.9
2002-09-21	4.5
2002-09-22	4.1
2002-09-23	4.7
2002-09-24	8.9
2002-09-25	6.4
2002-09-26	9.2
2002-09-27	9.7
2002-09-28	5
2002-09-29	2.2
2002-09-30	2.2
2002-10-01	1.6
2002-10-02	3
2002-10-03	8.4
2002-10-04	9.9
2002-10-05	12.3
2002-10-06	11.8
2002-10-07	7.7
2002-10-08	8.4
2002-10-09	13
2002-10-10	14.1
2002-10-11	11.5
2002-10-12	4.8
2002-10-13	4.4
2002-10-14	11
2002-10-15	12.6
2002-10-16	13.6
2002-10-17	13.8
2002-10-18	11.9
2002-10-19	12.4
2002-10-20	7.2
2002-10-21	14.1
2002-10-22	12.3
2002-10-23	15.4
2002-10-24	12
2002-10-25	13.8
2002-10-26	20.8
2002-10-27	21.1
2002-10-28	19.5
2002-10-29	8.9
2002-10-30	10.1
2002-10-31	7.8
2002-11-01	9
2002-11-02	8.6
2002-11-03	8.5
2002-11-04	9.3
2002-11-05	3.4
2002-11-06	4.1
2002-11-07	7.7
2002-11-08	13.6
2002-11-09	19.3
2002-11-10	10
2002-11-11	15.3
2002-11-12	10.4
2002-11-13	13
2002-11-14	9.5
2002-11-15	9.6
2002-11-16	10.7
2002-11-17	15
2002-11-18	6.3
2002-11-19	9.5
2002-11-20	7
2002-11-21	8.2
2002-11-22	6.7
2002-11-23	9.9
2002-11-24	7.2
2002-11-25	8.5
2002-11-26	3.9
2002-11-27	5.3
2002-11-28	9
2002-11-29	3.4
2002-11-30	7.5
2002-12-01	8.9
2002-12-02	8.4
2002-12-03	6.9
2002-12-04	3.4
2002-12-05	5.7
2002-12-06	6.5
2002-12-07	10.1
2002-12-08	14.5
2002-12-09	13.2
2002-12-10	13.6
2002-12-11	13.9
2002-12-12	8.1
2002-12-13	5.3
2002-12-14	3.9
2002-12-15	8.7
2002-12-16	12.7
2002-12-17	9.3
2002-12-18	9.1
2002-12-19	3.7
2002-12-20	11.3
2002-12-21	10.8
2002-12-22	8.8
2002-12-23	8.3
2002-12-24	9.3
2002-12-25	4.3
2002-12-26	12.5
2002-12-27	12.8
2002-12-28	7.6
2002-12-29	12.9
2002-12-30	18.1
2002-12-31	8.3
2003-01-01	15.3
2003-01-02	18.2
2003-01-03	21.1
2003-01-04	7.9
2003-01-05	4.8
2003-01-06	5
2003-01-07	6
2003-01-08	7.1
2003-01-09	10.2
2003-01-10	6.2
2003-01-11	4.9
2003-01-12	8.6
2003-01-13	18.1
2003-01-14	16.7
2003-01-15	17.4
2003-01-16	15.1
2003-01-17	9.3
2003-01-18	12.7
2003-01-19	11.6
2003-01-20	13.2
2003-01-21	9.4
2003-01-22	9.9
2003-01-23	9.4
2003-01-24	9.8
2003-01-25	9.3
2003-01-26	10.4
2003-01-27	16.4
2003-01-28	18.7
2003-01-29	13.5
2003-01-30	8.5
2003-01-31	5.2
2003-02-01	5.5
2003-02-02	14.5
2003-02-03	13.5
2003-02-04	8.7
2003-02-05	7.7
2003-02-06	11.2
2003-02-07	9.7
2003-02-08	5
2003-02-09	5.3
2003-02-10	3.5
2003-02-11	5.3
2003-02-12	10.6
2003-02-13	12
2003-02-14	8
2003-02-15	8.2
2003-02-16	5.1
2003-02-17	7.5
2003-02-18	8
2003-02-19	7.2
2003-02-20	7.2
2003-02-21	9.1
2003-02-22	11.9
2003-02-23	8.3
2003-02-24	7.2
2003-02-25	11.4
2003-02-26	10
2003-02-27	6.9
2003-02-28	7.4
2003-03-01	7.7
2003-03-02	7.2
2003-03-03	5.3
2003-03-04	4.6
2003-03-05	5.9
2003-03-06	10.9
2003-03-07	9.1
2003-03-08	14.2
2003-03-09	15.9
2003-03-10	12.6
2003-03-11	13.9
2003-03-12	15.3
2003-03-13	12.6
2003-03-14	7.5
2003-03-15	6.4
2003-03-16	5.4
2003-03-17	9.1
2003-03-18	6.2
2003-03-19	11.1
2003-03-20	7.9
2003-03-21	8.9
2003-03-22	10.3
2003-03-23	4.2
2003-03-24	8.1
2003-03-25	8.8
2003-03-26	4.5
2003-03-27	4.9
2003-03-28	5.2
2003-03-29	3.6
2003-03-30	7.3
2003-03-31	11
2003-04-01	9.7
2003-04-02	12.1
2003-04-03	10.4
2003-04-04	9.5
2003-04-05	17.8
2003-04-06	11
2003-04-07	12.4
2003-04-08	7.5
2003-04-09	5.9
2003-04-10	4.8
2003-04-11	5.4
2003-04-12	4.4
2003-04-13	5.4
2003-04-14	14.1
2003-04-15	12.1
2003-04-16	10.7
2003-04-17	8.2
2003-04-18	8.8
2003-04-19	11.6
2003-04-20	11.4
2003-04-21	9.7
2003-04-22	5.2
2003-04-23	7.8
2003-04-24	3.4
2003-04-25	5.7
2003-04-26	9.9
2003-04-27	14.6
2003-04-28	10.3
2003-04-29	13.3
2003-04-30	10.6
2003-05-01	14.5
2003-05-02	8.4
2003-05-03	15.5
2003-05-04	7.8
2003-05-05	8.5
2003-05-06	8.2
2003-05-07	5.1
2003-05-08	6.7
2003-05-09	5.8
2003-05-10	4.6
2003-05-11	2.6
2003-05-12	6.8
2003-05-13	9.5
2003-05-14	9.7
2003-05-15	6.9
2003-05-16	3.7
2003-05-17	8.1
2003-05-18	11.1
2003-05-19	12.4
2003-05-20	11.4
2003-05-21	9
2003-05-22	5.2
2003-05-27	5.4
2003-05-28	6.1
2003-05-29	6.3
2003-05-30	4.1
2003-05-31	4.9
2003-06-01	3.8
2003-06-02	5.7
2003-06-03	6.5
2003-06-04	6.7
2003-06-05	4.4
2003-06-06	6.1
2003-06-07	3.8
2003-06-08	8
2003-06-09	9.5
2003-06-10	6
2003-06-11	7.3
2003-06-12	6
2003-06-13	6.6
2003-06-14	2.9
2003-06-15	4.7
2003-06-16	5.4
2003-06-17	5.1
2003-06-18	9.7
2003-06-19	11.1
2003-06-20	17
2003-06-21	11.5
2003-06-22	6
2003-06-23	9.4
2003-06-24	8.8
2003-06-25	9.5
2003-06-26	3.9
2003-06-27	5.9
2003-06-28	3.7
2003-06-29	5.4
2003-06-30	5.5
2003-07-01	10.3
2003-07-02	13.1
2003-07-03	11.2
2003-07-04	11
2003-07-05	14.2
2003-07-06	12.1
2003-07-07	7.2
2003-07-08	6.2
2003-07-09	7.1
2003-07-10	7.8
2003-07-11	6
2003-07-12	8.5
2003-07-13	6
2003-07-14	5.9
2003-07-15	5.4
2003-07-16	6.7
2003-07-17	7.3
2003-07-18	7.5
2003-07-19	4.6
2003-07-20	8.1
2003-07-21	6.2
2003-07-22	5.6
2003-07-23	3.2
2003-07-24	5.7
2003-07-25	5
2003-07-26	8.8
2003-07-27	8.4
2003-07-28	6.8
2003-07-29	4
2003-07-30	3.7
2003-07-31	4.5
2003-08-01	4.7
2003-08-02	2.8
2003-08-03	2.5
2003-08-04	4.5
2003-08-05	3.6
2003-08-06	4
2003-08-07	3
2003-08-08	3.7
2003-08-09	3.1
2003-08-10	5
2003-08-11	5.7
2003-08-12	5.7
2003-08-13	11.2
2003-08-14	8.1
2003-08-15	7.3
2003-08-16	4.2
2003-08-17	5.1
2003-08-18	9.8
2003-08-19	11.2
2003-08-20	4.1
2003-08-21	4.4
2003-08-22	10.3
2003-08-23	8.9
2003-08-24	9.2
2003-08-25	4.9
2003-08-26	5.8
2003-08-27	12.2
2003-08-28	5.6
2003-08-29	11.7
2003-08-30	10.6
2003-08-31	9.5
2003-09-01	10.8
2003-09-02	8.2
2003-09-03	5.5
2003-09-04	6.8
2003-09-05	6.6
2003-09-06	8.4
2003-09-07	5.7
2003-09-08	5.9
2003-09-09	4.5
2003-09-10	7.5
2003-09-11	14.7
2003-09-12	9.9
2003-09-13	10.5
2003-09-14	5.3
2003-09-15	5.7
2003-09-16	5.8
2003-09-17	5.4
2003-09-18	6.8
2003-09-19	7.6
2003-09-20	4.5
2003-09-21	8.6
2003-09-22	7
2003-09-23	12.3
2003-09-24	6.4
2003-09-25	8
2003-09-26	9.5
2003-09-27	6.2
2003-09-28	6.6
2003-09-29	11.5
2003-09-30	6.9
