date	rhumid
2002-01-01	97
2002-01-02	97
2002-01-03	94
2002-01-04	75
2002-01-05	31
2002-01-06	91
2002-01-07	98
2002-01-08	97
2002-01-09	92
2002-01-10	83
2002-01-11	96
2002-01-12	98
2002-01-13	96
2002-01-14	97
2002-01-15	96
2002-01-16	97
2002-01-17	97
2002-01-18	97
2002-01-19	98
2002-01-20	99
2002-01-21	98
2002-01-22	99
2002-01-23	99
2002-01-24	99
2002-01-25	97
2002-01-26	98
2002-01-27	99
2002-01-28	96
2002-01-29	84
2002-01-30	95
2002-01-31	89
2002-02-01	97
2002-02-02	80
2002-02-03	67
2002-02-04	84
2002-02-05	98
2002-02-06	98
2002-02-07	99
2002-02-08	99
2002-02-09	99
2002-02-10	99
2002-02-11	99
2002-02-12	99
2002-02-13	99
2002-02-14	96
2002-02-15	58
2002-02-16	44
2002-02-17	73
2002-02-18	98
2002-02-19	99
2002-02-20	99
2002-02-21	91
2002-02-22	98
2002-02-23	99
2002-02-24	98
2002-02-25	99
2002-02-26	97
2002-02-27	96
2002-02-28	97
2002-03-01	98
2002-03-02	63
2002-03-03	95
2002-03-04	99
2002-03-05	93
2002-03-06	97
2002-03-07	95
2002-03-08	91
2002-03-09	97
2002-03-10	80
2002-03-11	64
2002-03-12	74
2002-03-13	96
2002-03-14	98
2002-03-15	99
2002-03-16	96
2002-03-17	92
2002-03-18	93
2002-03-19	98
2002-03-20	98
2002-03-21	99
2002-03-22	99
2002-03-23	97
2002-03-24	90
2002-03-25	83
2002-03-26	76
2002-03-27	78
2002-03-28	58
2002-03-29	52
2002-03-30	54
2002-03-31	55
2002-04-01	60
2002-04-02	50
2002-04-03	63
2002-04-04	59
2002-04-05	54
2002-04-06	77
2002-04-07	59
2002-04-08	58
2002-04-09	54
2002-04-10	78
2002-04-11	92
2002-04-12	86
2002-04-13	98
2002-04-14	99
2002-04-15	99
2002-04-16	99
2002-04-17	99
2002-04-18	96
2002-04-19	95
2002-04-20	91
2002-04-21	84
2002-04-22	75
2002-04-23	93
2002-04-24	98
2002-04-25	87
2002-04-26	97
2002-04-27	99
2002-04-28	99
2002-04-29	97
2002-04-30	86
2002-05-01	85
2002-05-02	98
2002-05-03	99
2002-05-04	100
2002-05-05	99
2002-05-06	97
2002-05-07	88
2002-05-08	97
2002-05-09	75
2002-05-10	97
2002-05-11	97
2002-05-12	98
2002-05-13	93
2002-05-14	90
2002-05-15	90
2002-05-16	71
2002-05-17	72
2002-05-18	98
2002-05-19	88
2002-05-20	81
2002-05-21	79
2002-05-22	75
2002-05-23	96
2002-05-24	80
2002-05-25	84
2002-05-26	82
2002-05-27	80
2002-05-28	81
2002-05-29	78
2002-05-30	71
2002-05-31	69
2002-06-01	64
2002-06-02	60
2002-06-03	59
2002-06-04	75
2002-06-05	77
2002-06-06	89
2002-06-07	95
2002-06-08	84
2002-06-09	76
2002-06-10	88
2002-06-11	92
2002-06-12	95
2002-06-13	99
2002-06-14	90
2002-06-15	85
2002-06-16	86
2002-06-17	68
2002-06-18	65
2002-06-19	89
2002-06-20	92
2002-06-21	88
2002-06-22	79
2002-06-23	83
2002-06-24	71
2002-06-25	68
2002-06-26	63
2002-06-27	77
2002-06-28	90
2002-06-29	83
2002-06-30	74
2002-07-01	95
2002-07-02	96
2002-07-03	99
2002-07-04	95
2002-07-05	81
2002-07-06	90
2002-07-07	86
2002-07-08	64
2002-07-09	65
2002-07-10	93
2002-07-11	81
2002-07-12	67
2002-07-13	93
2002-07-14	100
2002-07-15	90
2002-07-16	86
2002-07-17	97
2002-07-18	97
2002-07-19	89
2002-07-20	77
2002-07-21	92
2002-07-22	92
2002-07-23	88
2002-07-24	97
2002-07-25	89
2002-07-26	99
2002-07-27	79
2002-07-28	70
2002-07-29	58
2002-07-30	66
2002-07-31	73
2002-08-01	99
2002-08-02	84
2002-08-03	82
2002-08-04	79
2002-08-05	89
2002-08-06	88
2002-08-07	93
2002-08-08	95
2002-08-09	83
2002-08-10	97
2002-08-11	96
2002-08-12	92
2002-08-13	91
2002-08-14	86
2002-08-15	76
2002-08-16	68
2002-08-17	73
2002-08-18	73
2002-08-19	67
2002-08-20	72
2002-08-21	99
2002-08-22	98
2002-08-23	92
2002-08-24	87
2002-08-25	93
2002-08-26	87
2002-08-27	80
2002-08-28	92
2002-08-29	91
2002-08-30	84
