date	snowwe
2002-01-02	205.8
2002-01-04	174.6
2002-01-07	216.2
2002-01-09	213.6
2002-01-11	200.1
2002-01-14	161.5
2002-01-16	210
2002-01-18	180.4
2002-01-21	234.6
2002-01-23	190.8
2002-01-25	172.2
2002-01-28	86.4
2002-01-30	49.5
2002-02-20	31.2
2002-02-22	68
2002-02-25	102.5
2002-02-27	51
2002-03-01	60
2002-03-04	49.4
2002-03-06	46.4
2002-03-08	50.4
2002-03-15	16
2003-01-08	10.4
2003-01-10	7.2
2003-01-13	14.3
2003-01-15	20.7
2003-01-17	17.6
2003-01-20	19.2
2003-01-24	44.8
2003-01-27	31.5
2003-01-29	39.9
2003-01-31	79.8
2003-02-03	91.8
2003-02-05	112.2
2003-02-07	142
2003-02-10	125.4
2003-02-12	129.6
2003-02-14	156
2003-02-17	132.6
2003-02-19	155
2003-02-21	124.8
2003-02-24	117
2003-02-26	136.4
2003-02-28	136
2003-03-03	110.2
2003-03-05	114.8
2003-03-07	84
2003-03-10	58.8
2003-04-04	15.2
2003-12-15	16.8
2003-12-17	21.6
2003-12-19	26.4
2003-12-22	32.4
2003-12-24	30
2003-12-26	43.2
2003-12-29	25.2
2003-12-31	20
2004-01-02	27.2
2004-01-05	54.6
2004-01-07	46.8
2004-01-09	63
2004-01-12	79.2
2004-01-14	57.6
2004-01-16	90
2004-01-19	159.3
2004-01-21	167.4
2004-01-23	152.5
2004-01-26	140.7
2004-01-28	190.4
2004-01-30	217.5
2004-02-02	244.8
2004-02-04	117
2004-02-06	51.7
2004-02-09	40.8
2004-02-11	70.4
2004-02-13	84
2004-02-16	86.4
2004-02-18	81.6
2004-02-20	85
2004-02-23	80
2004-02-25	99.2
2004-02-27	110.7
2004-03-01	105.8
2004-03-03	98.7
2004-03-05	101.4
2004-03-08	124.7
2004-03-10	130.5
2004-03-12	138
2004-03-15	102.3
2004-03-17	63
2004-03-24	14.7
2004-03-26	13.8
2004-04-07	7.8
2004-04-09	36
2004-04-12	12
2004-11-10	13
2004-11-12	13.2
2004-11-15	12
2004-11-19	19.8
2004-11-22	45
2004-12-20	48
2004-12-22	54
2004-12-24	43.2
2004-12-27	27.3
2004-12-29	55.2
2004-12-31	50.6
2005-01-03	35.7
2005-01-05	38.4
2005-01-19	50
2005-01-21	55.8
2005-01-24	78.2
2005-01-26	83.2
2005-01-28	109.2
2005-01-31	114.4
2005-02-02	152.5
2005-02-04	164.7
2005-02-07	159.3
2005-02-09	121
2005-02-11	153
2005-02-14	132.5
2005-02-16	149.1
2005-02-18	148
2005-02-21	156.6
2005-02-23	160.2
2005-02-25	172.9
2005-02-28	171
2005-03-02	190
2005-03-04	198
2005-03-07	195.8
2005-03-09	195.8
2005-03-11	232.2
2005-03-14	353.4
2005-03-16	357
2005-03-18	257.4
2005-03-21	116
2005-03-23	85.5
2005-11-18	14
2005-11-21	20
2005-11-23	14
2005-11-25	37.4
2005-11-28	52.5
2005-11-30	56.1
2005-12-02	57.6
2005-12-05	33.6
2005-12-07	23.1
2005-12-09	33.6
2005-12-12	40.8
2005-12-14	39.6
2005-12-16	50.6
2005-12-19	72.5
2005-12-21	93.6
2005-12-23	83.7
2005-12-26	87
2005-12-28	96.2
2005-12-30	113.4
2006-01-02	107.5
2006-01-04	117.6
2006-01-06	105
2006-01-09	126
2006-01-11	124
2006-01-13	118.9
2006-01-16	120.9
2006-01-18	140
2006-01-20	144
2006-01-23	156
2006-01-25	163.2
2006-01-27	151.2
2006-01-30	148.4
2006-02-01	126.9
2006-02-03	126
2006-02-06	126
2006-02-08	141
2006-02-10	174.8
2006-02-13	242.5
2006-02-15	230.4
2006-02-17	275.4
2006-02-20	280.8
2006-02-22	308
2006-02-24	319
2006-02-27	330
2006-03-01	362.5
2006-03-03	299.2
2006-03-06	316.8
2006-03-08	347.3
2006-03-10	427.8
2006-03-13	443.3
2006-03-15	435.2
2006-03-17	428.8
2006-03-20	406.4
2006-03-22	444
2006-03-24	437
2006-03-27	357
2006-03-29	252
2006-03-31	159.6
2006-04-03	60
2006-04-05	48.6
2006-04-07	40.6
2006-04-10	50.4
2006-11-03	16.2
2007-01-03	13.2
2007-01-29	23.4
2007-01-31	20.3
2007-02-09	16.9
2007-02-12	24
2007-03-19	6.5
2007-03-21	14.4
2007-03-23	50.4
2007-03-26	38
2007-11-09	6.6
2007-11-12	50
2007-11-14	68.4
2007-11-16	81.4
2007-11-19	86.4
2007-11-21	72.8
2007-11-23	48
2007-11-26	77
2007-11-28	82.5
2007-11-30	54.6
2007-12-03	24.6
2007-12-05	26.1
2007-12-12	19.8
2007-12-14	18.7
2007-12-17	19.8
2007-12-19	19.8
2007-12-21	18
2007-12-24	20
2007-12-26	20
2007-12-28	22
2007-12-31	37.5
2008-01-02	34.5
2008-01-04	31.5
2008-01-07	41.4
2008-01-09	46
2008-01-11	42.5
2008-01-14	33
2008-02-01	10.4
2008-02-04	34.2
2008-02-06	36
2008-03-14	19.2
2008-03-19	13
2008-03-21	41.6
2008-03-24	71.4
2008-03-26	82.5
2008-03-28	82.5
2008-03-31	92.5
2008-04-02	36
2008-04-04	21
2008-04-09	30.6
2008-04-11	39.6
2008-11-21	22.4
2008-11-22	33.8
2008-11-23	48
2008-11-24	62.4
2008-11-25	73.6
2008-11-26	86.4
2008-11-27	90
2008-11-28	92.4
2008-11-29	92.4
