date	temper
2002-01-01	-5.1
2002-01-02	-4.4
2002-01-03	-9.5
2002-01-04	-6.9
2002-01-05	-0.1
2002-01-06	-0.9
2002-01-07	-1.7
2002-01-08	-2.7
2002-01-09	0.6
2002-01-10	0.3
2002-01-11	-2.3
2002-01-12	-1.9
2002-01-13	-0.8
2002-01-14	-4.5
2002-01-15	-6.2
2002-01-16	-2.9
2002-01-17	-3.6
2002-01-18	-2.7
2002-01-19	-0.7
2002-01-20	0.9
2002-01-21	4.3
2002-01-22	1.1
2002-01-23	1.2
2002-01-24	2.7
2002-01-25	-1.2
2002-01-26	3.5
2002-01-27	4.5
2002-01-28	5.7
2002-01-29	4.5
2002-01-30	6.1
2002-01-31	3.7
2002-02-01	4.1
2002-02-02	7.1
2002-02-03	6.6
2002-02-04	3.7
2002-02-05	5.1
2002-02-06	1.9
2002-02-07	0.2
2002-02-08	2.6
2002-02-09	4.9
2002-02-10	1
2002-02-11	4.6
2002-02-12	5.3
2002-02-13	1.9
2002-02-14	-3.3
2002-02-15	-2.4
2002-02-16	0.2
2002-02-17	0.7
2002-02-18	-2
2002-02-19	-1.5
2002-02-20	0.1
2002-02-21	-5.1
2002-02-22	-2.1
2002-02-23	-2.5
2002-02-24	-3.7
2002-02-25	0.8
2002-02-26	4.1
2002-02-27	0.1
2002-02-28	-0.7
2002-03-01	-1.4
2002-03-02	-3.6
2002-03-03	-2.6
2002-03-04	0.2
2002-03-05	1.9
2002-03-06	1.2
2002-03-07	2.8
2002-03-08	1.9
2002-03-09	2.6
2002-03-10	1.1
2002-03-11	5.4
2002-03-12	7.5
2002-03-13	3.6
2002-03-14	-2.7
2002-03-15	-1.9
2002-03-16	4.9
2002-03-17	7.1
2002-03-18	7
2002-03-19	2.9
2002-03-20	4.7
2002-03-21	4.9
2002-03-22	1.1
2002-03-23	-1.2
2002-03-24	-2.1
2002-03-25	-2.7
2002-03-26	-1.3
2002-03-27	-1.3
2002-03-28	1.7
2002-03-29	5.4
2002-03-30	7.4
2002-03-31	7.8
2002-04-01	8.5
2002-04-02	9.7
2002-04-03	7.3
2002-04-04	5.1
2002-04-05	2
2002-04-06	-1.9
2002-04-07	1.2
2002-04-08	0.9
2002-04-09	1.9
2002-04-10	0.3
2002-04-11	1.3
2002-04-12	5
2002-04-13	2.1
2002-04-14	0.4
2002-04-15	0.5
2002-04-16	0.6
2002-04-17	1.6
2002-04-18	4
