date	windsp
2002-01-01	6.6
2002-01-02	6.7
2002-01-03	8.7
2002-01-04	7.9
2002-01-05	5.1
2002-01-06	6.1
2002-01-07	4.8
2002-01-08	4.9
2002-01-09	3.4
2002-01-10	3.4
2002-01-11	5.9
2002-01-12	5.3
2002-01-13	4.2
2002-01-14	4.8
2002-01-15	5.5
2002-01-16	5.3
2002-01-17	5.6
2002-01-18	6.3
2002-01-19	8.6
2002-01-20	11
2002-01-21	9.6
2002-01-22	9.4
2002-01-23	9.4
2002-01-24	12.4
2002-01-25	8.3
2002-01-26	13.3
2002-01-27	10.2
2002-01-28	13.9
2002-01-29	11.4
2002-01-30	8.2
2002-01-31	10.1
2002-02-01	9.6
2002-02-02	8.9
2002-02-03	7.7
2002-02-04	11.4
2002-02-05	10.7
2002-02-06	7.3
2002-02-07	6.6
2002-02-08	9.3
2002-02-09	10.5
2002-02-10	9.9
2002-02-11	13.4
2002-02-12	11
2002-02-13	4.9
2002-02-14	8
2002-02-15	7.1
2002-02-16	7.7
2002-02-17	5.2
2002-02-18	6.3
2002-02-19	9.9
2002-02-20	9.1
2002-02-21	9.1
2002-02-22	11.7
2002-02-23	10.3
2002-02-24	8.5
2002-02-25	7.7
2002-02-26	13.6
2002-02-27	10.2
2002-02-28	10.4
2002-03-01	8.2
2002-03-02	4.9
2002-03-03	5.2
2002-03-04	3.5
2002-03-05	2.7
2002-03-06	10.1
2002-03-07	12.1
2002-03-08	6.1
2002-03-09	8.8
2002-03-10	8.2
2002-03-11	6.9
2002-03-12	4.3
2002-03-13	4.9
2002-03-14	9
2002-03-15	7.1
2002-03-16	5.2
2002-03-17	5.9
2002-03-18	8.2
2002-03-19	8.7
2002-03-20	7.3
2002-03-21	7.5
2002-03-22	9.1
2002-03-23	6.3
2002-03-24	4.5
2002-03-25	2.7
2002-03-26	2.6
2002-03-27	3.4
2002-03-28	5.2
2002-03-29	5.6
2002-03-30	2.8
2002-03-31	3.9
2002-04-01	2.8
2002-04-02	5.2
2002-04-03	7.3
2002-04-04	5.7
2002-04-05	7.4
2002-04-06	5.5
2002-04-07	3.7
2002-04-08	5.2
2002-04-09	5
2002-04-10	7.5
2002-04-11	5.1
2002-04-12	6.2
2002-04-13	7
2002-04-14	5.5
2002-04-15	5.8
2002-04-16	3.2
2002-04-17	3.4
2002-04-18	4.4
2002-04-19	2.7
2002-04-20	4.6
2002-04-21	3
2002-04-22	3.5
2002-04-23	5.2
2002-04-24	5.2
2002-04-25	3.7
2002-04-26	7.3
2002-04-27	7.8
2002-04-28	9.2
2002-04-29	10.6
2002-04-30	9.2
2002-05-01	7.7
2002-05-02	3.8
2002-05-03	6.1
2002-05-04	7.9
2002-05-05	4.5
2002-05-06	2.5
2002-05-07	4.3
2002-05-08	5.4
2002-05-09	4.3
2002-05-10	3.5
2002-05-11	4.2
2002-05-12	3
2002-05-13	3.8
2002-05-14	8.3
2002-05-15	5.8
2002-05-16	4.7
2002-05-17	3.4
2002-05-18	5.9
2002-05-19	3.7
2002-05-20	3.6
2002-05-21	5.6
2002-05-22	6.3
2002-05-23	4.5
2002-05-24	6.3
2002-05-25	4.1
2002-05-26	5.6
2002-05-27	3.5
2002-05-28	2.8
2002-05-29	5.3
2002-05-30	4.4
2002-05-31	4.8
2002-06-01	3.4
2002-06-02	5.4
2002-06-03	6.1
2002-06-04	4.1
2002-06-05	6
2002-06-06	3.6
2002-06-07	5.7
2002-06-08	3.6
2002-06-09	2.4
2002-06-10	5.6
2002-06-11	5.3
2002-06-12	7
2002-06-13	8.3
2002-06-14	6
2002-06-15	6.3
2002-06-16	4.2
2002-06-17	4.6
2002-06-18	6.3
2002-06-19	3.7
2002-06-20	5.7
2002-06-21	3.4
2002-06-22	4.5
2002-06-23	4.5
2002-06-24	4.5
2002-06-25	3
2002-06-26	3.9
2002-06-27	5.4
2002-06-28	7.4
2002-06-29	5.9
2002-06-30	6.1
2002-07-01	9.6
2002-07-02	7.7
2002-07-03	9.3
2002-07-04	7.2
2002-07-05	5.1
2002-07-06	4.4
2002-07-07	4.6
2002-07-08	5.7
2002-07-09	5.7
2002-07-10	4.5
2002-07-11	4.4
2002-07-12	2.9
2002-07-13	4
2002-07-14	6.3
2002-07-15	5.4
2002-07-16	6.6
2002-07-17	9.4
2002-07-18	7.9
2002-07-19	5.5
2002-07-20	3.1
2002-07-21	6.3
2002-07-22	6.1
2002-07-23	6.5
2002-07-24	6.7
2002-07-25	4.3
2002-07-26	5.5
2002-07-27	3.2
2002-07-28	3.8
2002-07-29	3.2
2002-07-30	3.7
2002-07-31	3.7
2002-08-01	5
2002-08-02	3.9
2002-08-03	4.1
2002-08-04	3.2
2002-08-05	3.8
2002-08-06	3.5
2002-08-07	2.8
2002-08-08	2.2
2002-08-09	3.7
2002-08-10	3.8
2002-08-11	4.5
2002-08-12	8.6
2002-08-13	7.7
2002-08-14	3.6
2002-08-15	2
2002-08-16	2.5
2002-08-17	3.9
2002-08-18	4.3
2002-08-19	4
2002-08-20	4.3
2002-08-21	3.4
2002-08-22	3
2002-08-23	2.8
2002-08-24	3.6
2002-08-25	4.7
2002-08-26	5.5
2002-08-27	3.4
2002-08-28	5.4
2002-08-29	3.9
2002-08-30	2.9
2002-08-31	5.6
2002-09-01	5.6
2002-09-02	5.7
2002-09-03	5.4
2002-09-04	5.3
2002-09-05	4.3
2002-09-06	4.5
2002-09-07	5.2
2002-09-08	4
2002-09-09	4.9
2002-09-10	7.7
2002-09-11	5
2002-09-12	5.9
2002-09-13	5.2
2002-09-14	6.5
2002-09-15	5.3
2002-09-16	3.2
2002-09-17	4.1
2002-09-18	2.7
2002-09-19	2.9
2002-09-20	3.9
2002-09-21	4.3
2002-09-22	5.5
2002-09-23	9.1
2002-09-24	9.1
2002-09-25	4.8
2002-09-26	5.3
2002-09-27	5.5
2002-09-28	2.8
2002-09-29	2.9
2002-09-30	5.2
2002-10-01	4.1
2002-10-02	4.8
2002-10-03	4.9
2002-10-04	6.5
2002-10-05	7.2
2002-10-06	7.8
2002-10-07	3.4
2002-10-08	4.6
2002-10-09	8.1
2002-10-10	8.8
2002-10-11	8.1
2002-10-12	4.9
2002-10-13	3.3
2002-10-14	8.1
2002-10-15	6.7
2002-10-16	9.1
2002-10-17	6.9
2002-10-18	7
2002-10-19	6.1
2002-10-20	4.6
2002-10-21	7.9
2002-10-22	7.5
2002-10-23	9.8
2002-10-24	7.9
2002-10-25	10
2002-10-26	11.9
2002-10-27	13.3
2002-10-28	8.1
2002-10-29	5.4
2002-10-30	4.4
2002-10-31	3.2
2002-11-01	5.8
2002-11-02	5.6
2002-11-03	6.2
2002-11-04	4.4
2002-11-05	2.3
2002-11-06	6.2
2002-11-07	6.7
2002-11-08	8.8
2002-11-09	10.5
2002-11-10	5.5
2002-11-11	7.3
2002-11-12	8.2
2002-11-13	8.7
2002-11-14	6.7
2002-11-15	3.6
2002-11-16	4.1
2002-11-17	7.5
