time	value
2002-01-01	884.3
2002-01-02	882.2
2002-01-03	889.1
2002-01-04	890.3
2002-01-05	891.9
2002-01-06	887.1
2002-01-07	886.5
2002-01-08	889.7
2002-01-09	892.8
2002-01-10	890.8
2002-01-11	887.9
2002-01-12	886.9
2002-01-13	886.9
2002-01-14	885
2002-01-15	879.4
2002-01-16	878
2002-01-17	880.7
2002-01-18	878.7
2002-01-19	874.7
2002-01-20	874.7
2002-01-21	871.6
2002-01-22	871
2002-01-23	869.1
2002-01-24	863.5
2002-01-25	873.4
2002-01-26	872.2
2002-01-27	867.3
2002-01-28	876
2002-01-29	881.7
2002-01-30	881.7
2002-01-31	877
2002-02-01	881.9
2002-02-02	888.4
2002-02-03	884.2
2002-02-04	880.9
2002-02-05	873.2
2002-02-06	867.1
2002-02-07	876.7
2002-02-08	877
2002-02-09	871.6
2002-02-10	867.5
2002-02-11	869.1
2002-02-12	870.1
2002-02-13	874.3
2002-02-14	881.6
2002-02-15	885.9
2002-02-16	885.4
2002-02-17	880.2
2002-02-18	875
2002-02-19	872.2
2002-02-20	857.4
2002-02-21	864.1
2002-02-22	864.8
2002-02-23	856.7
2002-02-24	862.8
2002-02-25	864.4
2002-02-26	860.7
2002-02-27	861.4
2002-02-28	863.6
2002-03-01	868.9
2002-03-02	870.6
2002-03-03	873.5
2002-03-04	877.9
2002-03-05	873.3
2002-03-06	868.5
2002-03-07	867.8
2002-03-08	881.9
2002-03-09	874
2002-03-10	875.7
2002-03-11	880.4
2002-03-12	879.4
2002-03-13	876
2002-03-14	873
2002-03-15	875.3
2002-03-16	878.3
2002-03-17	876.6
2002-03-18	872.7
2002-03-19	864.5
2002-03-20	870.6
2002-03-21	873.7
2002-03-22	874.1
2002-03-23	879.6
2002-03-24	885
2002-03-25	885.7
2002-03-26	884.5
2002-03-27	886.9
2002-03-28	888.2
2002-03-29	886.5
2002-03-30	883.7
2002-03-31	880.6
2002-04-01	880.4
2002-04-02	881.5
2002-04-03	876.7
2002-04-04	872.6
2002-04-05	870.7
2002-04-06	874.5
2002-04-07	879.3
2002-04-08	879.4
2002-04-09	878.1
2002-04-10	875.4
2002-04-11	870.1
2002-04-12	862.6
2002-04-13	862.3
2002-04-14	866.3
2002-04-15	870.1
2002-04-16	874
2002-04-17	876.2
2002-04-18	879.4
2002-04-19	881.1
2002-04-20	886.4
2002-04-21	893.3
2002-04-22	891.9
2002-04-23	887.7
2002-04-24	884.7
2002-04-25	881.9
2002-04-26	871.8
2002-04-27	868.7
2002-04-28	869.6
2002-04-29	869.5
2002-04-30	874.8
2002-05-01	873.6
2002-05-02	872.6
2002-05-03	872.9
2002-05-04	872.5
2002-05-05	876.1
2002-05-06	882.4
2002-05-07	884
2002-05-08	878.7
2002-05-09	875.6
2002-05-10	873.6
2002-05-11	873.4
2002-05-12	876.6
2002-05-13	880.7
2002-05-14	881.1
