time	value
2002-01-01	20
2002-01-02	20.1
2002-01-03	62.3
2002-01-04	63.2
2002-01-05	62.6
2002-01-06	47.2
2002-01-07	22
2002-01-08	56.5
2002-01-09	66.1
2002-01-10	64.5
2002-01-11	47
2002-01-12	22.1
2002-01-13	31.2
2002-01-14	69.7
2002-01-15	71
2002-01-16	70.6
2002-01-17	52.3
2002-01-18	63.4
2002-01-19	24.2
2002-01-20	24.5
2002-01-21	24.9
2002-01-22	61.5
2002-01-23	35.4
2002-01-24	26
2002-01-25	32.7
2002-01-26	26.9
2002-01-27	27.3
2002-01-28	27.8
2002-01-29	84.3
2002-01-30	41.2
2002-01-31	59.2
2002-02-01	42.5
2002-02-02	76.6
2002-02-03	94.2
2002-02-04	83.6
2002-02-05	31.8
2002-02-06	32.3
2002-02-07	41.6
2002-02-08	33.5
2002-02-09	34.1
2002-02-10	34.7
2002-02-11	35.3
2002-02-12	35.9
2002-02-13	36.5
2002-02-14	66.2
2002-02-15	110.1
2002-02-16	118
2002-02-17	108.2
2002-02-18	48.9
2002-02-19	50.5
2002-02-20	41.3
2002-02-21	42
2002-02-22	42.7
2002-02-23	45.2
2002-02-24	46.8
2002-02-25	44.9
2002-02-26	45.7
2002-02-27	73.7
2002-02-28	87.6
2002-03-01	66.6
2002-03-02	48.8
2002-03-03	52.4
2002-03-04	50.4
2002-03-05	143.2
2002-03-06	110.7
2002-03-07	52.9
2002-03-08	125.5
2002-03-09	89.8
2002-03-10	133.7
2002-03-11	164
2002-03-12	111
2002-03-13	119.7
2002-03-14	59.9
2002-03-15	97
2002-03-16	140.1
2002-03-17	168.8
2002-03-18	171.7
2002-03-19	63.2
2002-03-20	64.1
2002-03-21	119.9
2002-03-22	111.1
2002-03-23	102.1
2002-03-24	99.8
2002-03-25	97.5
2002-03-26	96.3
2002-03-27	93.8
2002-03-28	214.6
2002-03-29	220.1
2002-03-30	217.3
2002-03-31	127.2
2002-04-01	140.5
2002-04-02	235
2002-04-03	241.1
2002-04-04	249.9
2002-04-05	188.5
2002-04-06	108.3
2002-04-07	194.4
2002-04-08	253.5
2002-04-09	184.8
2002-04-10	155.1
2002-04-11	85
2002-04-12	84.4
2002-04-13	85.3
2002-04-14	86.1
2002-04-15	87
2002-04-16	140.6
2002-04-17	103.4
2002-04-18	176.8
2002-04-19	136.4
2002-04-20	91.1
2002-04-21	166.9
2002-04-22	94.3
2002-04-23	172.2
2002-04-24	94.3
2002-04-25	95.1
2002-04-26	175.5
2002-04-27	150.4
2002-04-28	128.2
2002-04-29	175.5
2002-04-30	199.8
2002-05-01	211.8
2002-05-02	147.2
2002-05-03	126.1
2002-05-04	156.8
2002-05-05	146.6
2002-05-06	147.4
2002-05-07	187.8
2002-05-08	179.2
2002-05-09	306
2002-05-10	275.2
2002-05-11	154.4
2002-05-12	123
2002-05-13	149.4
2002-05-14	230.7
2002-05-15	175
2002-05-16	345.8
2002-05-17	286.7
2002-05-18	180.3
2002-05-19	110.9
2002-05-20	132.6
2002-05-21	170.7
2002-05-22	333.3
2002-05-23	193.1
2002-05-24	119.8
2002-05-25	123.6
2002-05-26	117.4
2002-05-27	127.7
2002-05-28	115
2002-05-29	262.3
2002-05-30	198.4
2002-05-31	207.1
2002-06-01	297
2002-06-02	368.7
2002-06-03	356
2002-06-04	348.2
2002-06-05	179.1
2002-06-06	119.5
2002-06-07	118.1
2002-06-08	118.4
2002-06-09	133.6
2002-06-10	147.1
2002-06-11	194
2002-06-12	220.9
2002-06-13	191.1
2002-06-14	186.2
2002-06-15	181.3
2002-06-16	208.2
2002-06-17	281.8
2002-06-18	370.5
2002-06-19	261.9
2002-06-20	307.1
2002-06-21	203.5
2002-06-22	285.4
2002-06-23	218.6
2002-06-24	138.3
2002-06-25	251.9
2002-06-26	278.6
2002-06-27	285.1
2002-06-28	199.8
2002-06-29	181.3
2002-06-30	246.3
2002-07-01	192.7
2002-07-02	119.1
2002-07-03	229
2002-07-04	127.1
2002-07-05	336.8
2002-07-06	175
2002-07-07	158.1
2002-07-08	360.7
2002-07-09	365.2
