time	value
2002-01-01	929.7
2002-01-02	928.8
2002-01-03	929.5
2002-01-04	929.6
2002-01-05	932.5
2002-01-06	929.9
2002-01-07	928.6
2002-01-08	929.3
2002-01-09	932.3
2002-01-10	930.8
2002-01-11	927
2002-01-12	928.3
2002-01-13	926.8
2002-01-14	923.8
2002-01-15	916.7
2002-01-16	917.6
2002-01-17	919.7
2002-01-18	917.4
2002-01-19	913
2002-01-20	913.5
2002-01-21	911.7
2002-01-22	907.3
2002-01-23	904.3
2002-01-24	898
2002-01-25	913.9
2002-01-26	908.4
2002-01-27	905.2
2002-01-28	914.8
2002-01-29	921.1
2002-01-30	918.7
2002-01-31	915
2002-02-01	918.6
2002-02-02	923
2002-02-03	917.8
2002-02-04	915.8
2002-02-05	906.3
2002-02-06	903.7
2002-02-07	915.7
2002-02-08	916.6
2002-02-09	907.9
2002-02-10	906.8
2002-02-11	906.8
2002-02-12	909.6
2002-02-13	914.4
2002-02-14	921.9
2002-02-15	925.6
2002-02-16	924.5
2002-02-17	918.5
2002-02-18	915.2
2002-02-19	912
2002-02-20	894.7
2002-02-21	908.3
2002-02-22	901.4
2002-02-23	895.9
2002-02-24	904.1
2002-02-25	902.1
2002-02-26	895.9
2002-02-27	898.2
2002-02-28	900.4
2002-03-01	907.4
2002-03-02	911.3
2002-03-03	915.3
2002-03-04	917.1
2002-03-05	911.7
2002-03-06	906.2
2002-03-07	909.8
2002-03-08	922.1
2002-03-09	911.2
2002-03-10	914.9
2002-03-11	915.9
2002-03-12	915.4
2002-03-13	913.6
2002-03-14	912.1
2002-03-15	913
2002-03-16	915.8
2002-03-17	912.6
2002-03-18	906.2
2002-03-19	902.1
2002-03-20	910.4
2002-03-21	914.4
2002-03-22	917.9
2002-03-23	925.6
2002-03-24	929.1
2002-03-25	926.4
2002-03-26	924.8
2002-03-27	927.4
2002-03-28	927.2
2002-03-29	923.6
2002-03-30	922.1
2002-03-31	918.7
2002-04-01	918.2
2002-04-02	918.1
2002-04-03	912.9
2002-04-04	910.4
2002-04-05	910.2
2002-04-06	916.1
2002-04-07	919.3
2002-04-08	919.6
2002-04-09	918.1
2002-04-10	915.2
2002-04-11	908.2
2002-04-12	902.1
2002-04-13	902.6
2002-04-14	907.3
2002-04-15	911
2002-04-16	912
2002-04-17	914.2
2002-04-18	916.8
2002-04-19	919.6
2002-04-20	927.1
2002-04-21	933.4
2002-04-22	931.2
2002-04-23	927.9
2002-04-24	925.4
2002-04-25	920.4
2002-04-26	907.8
2002-04-27	907.3
2002-04-28	903.6
2002-04-29	903.8
2002-04-30	909.3
2002-05-01	907.8
2002-05-02	910
2002-05-03	912.4
2002-05-04	911.8
2002-05-05	913.5
