time	value
2002-01-01	20
2002-01-02	20.1
2002-01-03	59.2
2002-01-04	61.1
2002-01-05	61.5
2002-01-06	20.7
2002-01-07	20.9
2002-01-08	40.9
2002-01-09	66.1
2002-01-10	63.4
2002-01-11	28.4
2002-01-12	22.1
2002-01-13	24
2002-01-14	29.3
2002-01-15	22.9
2002-01-16	23.2
2002-01-17	26.4
2002-01-18	23.8
2002-01-19	24.2
2002-01-20	24.5
2002-01-21	24.9
2002-01-22	31.3
2002-01-23	27.5
2002-01-24	26
2002-01-25	27.1
2002-01-26	26.9
2002-01-27	29.2
2002-01-28	29.7
2002-01-29	78.4
2002-01-30	42.5
2002-01-31	70.5
2002-02-01	39.1
2002-02-02	86.8
2002-02-03	86.6
2002-02-04	55
2002-02-05	31.8
2002-02-06	36.6
2002-02-07	33.6
2002-02-08	33.5
2002-02-09	34.1
2002-02-10	34.7
2002-02-11	35.3
2002-02-12	37.4
2002-02-13	36.5
2002-02-14	82.7
2002-02-15	116.4
2002-02-16	117.2
2002-02-17	99.3
2002-02-18	39.9
2002-02-19	40.6
2002-02-20	41.3
2002-02-21	100.6
2002-02-22	42.7
2002-02-23	43.4
2002-02-24	45.1
2002-02-25	44.9
2002-02-26	60.1
2002-02-27	67.4
2002-02-28	56.4
2002-03-01	49.9
2002-03-02	118.2
2002-03-03	61
2002-03-04	50.4
2002-03-05	114.1
2002-03-06	53
2002-03-07	77.6
2002-03-08	98.6
2002-03-09	54.5
2002-03-10	135.7
2002-03-11	147.6
2002-03-12	74.7
2002-03-13	59
2002-03-14	58.8
2002-03-15	59.7
2002-03-16	173.4
2002-03-17	94
2002-03-18	105
2002-03-19	67.6
2002-03-20	71.9
2002-03-21	68.3
2002-03-22	68.1
2002-03-23	88.4
2002-03-24	76.8
2002-03-25	131.1
2002-03-26	123.1
2002-03-27	208
2002-03-28	217
2002-03-29	213
2002-03-30	122.3
2002-03-31	161.8
2002-04-01	115
2002-04-02	216.1
2002-04-03	235.6
2002-04-04	217
2002-04-05	240.8
2002-04-06	237.2
2002-04-07	250.2
2002-04-08	245.1
2002-04-09	217.3
2002-04-10	146.6
2002-04-11	116.4
2002-04-12	220.8
2002-04-13	85.3
2002-04-14	86.1
2002-04-15	87
2002-04-16	87.8
2002-04-17	88.7
2002-04-18	120.6
2002-04-19	117.1
2002-04-20	174.8
2002-04-21	220.9
2002-04-22	243.4
2002-04-23	111.7
2002-04-24	94.3
2002-04-25	172.9
2002-04-26	97.4
2002-04-27	104.3
2002-04-28	97.4
2002-04-29	127.6
2002-04-30	167.2
2002-05-01	129.2
2002-05-02	101.9
2002-05-03	101
2002-05-04	101.7
2002-05-05	102.4
2002-05-06	142.7
2002-05-07	322.7
2002-05-08	193.5
2002-05-09	192.8
2002-05-10	108.9
2002-05-11	140
2002-05-12	111.8
2002-05-13	204.1
2002-05-14	169.4
2002-05-15	183.1
2002-05-16	342.5
2002-05-17	317.5
2002-05-18	125
2002-05-19	146.7
2002-05-20	129.3
2002-05-21	330.9
2002-05-22	230.2
2002-05-23	114.5
2002-05-24	208.5
2002-05-25	133.4
2002-05-26	188.2
2002-05-27	150.8
2002-05-28	157.9
2002-05-29	163.2
2002-05-30	259.6
2002-05-31	236.9
2002-06-01	366.5
2002-06-02	353.8
2002-06-03	324.5
2002-06-04	226.9
2002-06-05	149.2
2002-06-06	157.8
2002-06-07	118.1
2002-06-08	173.3
2002-06-09	145.2
2002-06-10	152.1
2002-06-11	129
2002-06-12	120.8
2002-06-13	119.3
2002-06-14	182.9
2002-06-15	193
2002-06-16	156.4
2002-06-17	303.5
2002-06-18	328.7
2002-06-19	210.1
2002-06-20	193.5
2002-06-21	171.8
2002-06-22	193.5
2002-06-23	221.9
2002-06-24	303.8
2002-06-25	308.7
2002-06-26	353.8
2002-06-27	225
2002-06-28	151.4
2002-06-29	183
2002-06-30	306.4
2002-07-01	119.3
2002-07-02	144.2
2002-07-03	119
2002-07-04	145.5
2002-07-05	153.6
2002-07-06	145
2002-07-07	153.1
2002-07-08	360.7
2002-07-09	265.5
2002-07-10	142.2
