time	value
2002-01-01	0.5
2002-01-02	0.3
2002-01-03	0
2002-01-04	0
2002-01-05	0
2002-01-06	0.3
2002-01-07	0.3
2002-01-08	0
2002-01-09	0
2002-01-10	0
2002-01-11	0.7
2002-01-12	1.1
2002-01-13	0
2002-01-14	0
2002-01-15	0
2002-01-16	0
2002-01-17	0
2002-01-18	0.7
2002-01-19	9.1
2002-01-20	10
2002-01-21	7.8
2002-01-22	6.3
2002-01-23	1.6
2002-01-24	6.3
2002-01-25	4.4
2002-01-26	27
2002-01-27	24.9
2002-01-28	6.1
2002-01-29	0.2
2002-01-30	0.5
2002-01-31	1.1
2002-02-01	0.1
2002-02-02	0
2002-02-03	0.5
2002-02-04	1.1
2002-02-05	5.7
2002-02-06	2.6
2002-02-07	3.2
2002-02-08	6.1
2002-02-09	22.7
2002-02-10	4.7
2002-02-11	25.6
2002-02-12	23.6
2002-02-13	2.5
2002-02-14	0
2002-02-15	0
2002-02-16	0
2002-02-17	0
2002-02-18	0.9
2002-02-19	19.5
2002-02-20	21.5
2002-02-21	0.8
2002-02-22	14
2002-02-23	7.3
2002-02-24	5.4
2002-02-25	18.9
2002-02-26	22.1
2002-02-27	0.3
2002-02-28	2.1
2002-03-01	2.2
2002-03-02	0
2002-03-03	0
2002-03-04	0
2002-03-05	0
2002-03-06	10.2
2002-03-07	9.6
2002-03-08	0
2002-03-09	0.8
2002-03-10	0
2002-03-11	0
2002-03-12	0.1
2002-03-13	2.4
2002-03-14	5.6
2002-03-15	0.7
2002-03-16	0
2002-03-17	0
2002-03-18	17.1
2002-03-19	10
2002-03-20	17
2002-03-21	0.4
2002-03-22	11.3
2002-03-23	0.1
2002-03-24	0
2002-03-25	0
2002-03-26	0
2002-03-27	0
2002-03-28	0
2002-03-29	0
2002-03-30	0
2002-03-31	0
2002-04-01	0
2002-04-02	0
2002-04-03	0
2002-04-04	0
2002-04-05	0
2002-04-06	0
2002-04-07	0
2002-04-08	0
2002-04-09	0
2002-04-10	0
2002-04-11	0
2002-04-12	0
2002-04-13	1
2002-04-14	0.4
2002-04-15	4.4
2002-04-16	7.3
2002-04-17	3.1
2002-04-18	2.9
2002-04-19	2
2002-04-20	0
2002-04-21	0
2002-04-22	0
2002-04-23	0.4
2002-04-24	0
2002-04-25	0
2002-04-26	9.4
2002-04-27	10
2002-04-28	18.8
2002-04-29	12
2002-04-30	2.2
2002-05-01	0.8
2002-05-02	0.9
2002-05-03	11.9
2002-05-04	16.4
2002-05-05	0
2002-05-06	6.6
2002-05-07	0
2002-05-08	0
2002-05-09	0
2002-05-10	15.5
2002-05-11	0
2002-05-12	8.6
2002-05-13	0
2002-05-14	1.5
2002-05-15	0
2002-05-16	0
2002-05-17	0
2002-05-18	1.6
2002-05-19	0
2002-05-20	0
2002-05-21	0
2002-05-22	7
2002-05-23	2.4
2002-05-24	1.1
2002-05-25	0.2
2002-05-26	0.1
2002-05-27	2.9
2002-05-28	0
2002-05-29	0.2
2002-05-30	0
2002-05-31	0
2002-06-01	0
2002-06-02	0
2002-06-03	0.1
2002-06-04	0
2002-06-05	16.5
2002-06-06	9.1
2002-06-07	7.6
2002-06-08	0
2002-06-09	3.3
2002-06-10	2.7
2002-06-11	7.3
2002-06-12	12
2002-06-13	5.1
2002-06-14	14.8
2002-06-15	0
2002-06-16	0.5
2002-06-17	0
2002-06-18	0
2002-06-19	0
2002-06-20	7.6
2002-06-21	0
2002-06-22	0.2
2002-06-23	1.4
2002-06-24	0
2002-06-25	0
2002-06-26	0
2002-06-27	0
2002-06-28	6.8
2002-06-29	0
2002-06-30	0
2002-07-01	9.4
2002-07-02	7.1
2002-07-03	26.7
2002-07-04	2
2002-07-05	0
2002-07-06	1.4
2002-07-07	0
2002-07-08	0
2002-07-09	1.1
2002-07-10	18.8
2002-07-11	0
2002-07-12	4.6
2002-07-13	17
2002-07-14	2.6
2002-07-15	0.3
2002-07-16	0.2
2002-07-17	35.1
2002-07-18	0.1
2002-07-19	0
2002-07-20	11.5
2002-07-21	6.2
2002-07-22	0
2002-07-23	3.5
2002-07-24	8.7
2002-07-25	2.8
2002-07-26	2.6
2002-07-27	0
2002-07-28	0
2002-07-29	0.1
2002-07-30	0.9
2002-07-31	0.5
2002-08-01	35.5
2002-08-02	0
2002-08-03	13.6
