gof	precipSeconds	a0	a1	kSatSnow	densDrySnow	specCapRet	emissivitySnowMin	emissivitySnowMax	tempAir_crit	albedoMin	albedoMax	agingRate_tAirPos	agingRate_tAirNeg	soilDepth	soilDens	soilSpecHeat	weightAirTemp
0.2077465	86400	4.991791e-05	3.898714e-05	5.711459e-07	450	0.05	0.8001403	0.99	-0.4954788	0.3508793	0.800168	1.109e-06	4.621e-07	0.1	1300	2.182	0.2015652
0.207866	86400	0.0005227172	0.0001214039	5.679351e-06	450	0.05	0.8110404	0.99	-0.4869335	0.4075104	0.8725491	1.109e-06	4.621e-07	0.1	1300	2.182	0.6419694
0.1807283	86400	0.0005891188	0.001622485	1.216232e-06	450	0.05	0.8065744	0.99	0.4979333	0.5697143	0.8981779	1.109e-06	4.621e-07	0.1	1300	2.182	0.6078557
0.1811060	86400	0.004395429	6.25086e-05	1.465553e-05	450	0.05	0.8305053	0.99	0.4597311	0.3796789	0.8028531	1.109e-06	4.621e-07	0.1	1300	2.182	0.2267531
0.2259399	86400	0.003325471	0.0001918135	7.560896e-06	450	0.05	0.8475426	0.99	-0.185582	0.5938515	0.893244	1.109e-06	4.621e-07	0.1	1300	2.182	0.2970729
0.1430028	86400	0.002376419	0.001785246	2.191966e-05	450	0.05	0.804251	0.99	0.3317995	0.4601242	0.8036958	1.109e-06	4.621e-07	0.1	1300	2.182	0.2100934
0.2232657	86400	0.0006701166	0.0002011272	2.515980e-06	450	0.05	0.8367938	0.99	-0.4115271	0.3603671	0.899541	1.109e-06	4.621e-07	0.1	1300	2.182	0.2641375
0.1702340	86400	0.004588794	0.0003649485	1.992267e-06	450	0.05	0.8363601	0.99	-0.4240663	0.448297	0.8034405	1.109e-06	4.621e-07	0.1	1300	2.182	0.2212316
0.1413237	86400	0.0002418235	0.001669111	5.834527e-06	450	0.05	0.8154747	0.99	0.1391903	0.3950522	0.897296	1.109e-06	4.621e-07	0.1	1300	2.182	0.5888387
0.2050511	86400	0.0003820359	0.0002496464	6.102228e-06	450	0.05	0.8224214	0.99	-0.2087534	0.3856349	0.8777334	1.109e-06	4.621e-07	0.1	1300	2.182	0.2156701
