date	sec	swe	alb
2001-12-31	0.00	0.42	0.80
2002-01-01	-7444.78	0.42	0.81
2002-01-02	-7757.04	0.43	0.84
2002-01-03	-14762.85	0.43	0.83
2002-01-04	-18710.35	0.43	0.82
2002-01-05	-19500.95	0.43	0.81
2002-01-06	-13162.58	0.43	0.84
2002-01-07	-9292.01	0.43	0.84
2002-01-08	-10652.59	0.43	0.83
2002-01-09	-11122.36	0.43	0.80
2002-01-10	-13671.99	0.43	0.78
2002-01-11	-10659.12	0.43	0.78
2002-01-12	-6605.45	0.43	0.79
2002-01-13	-8121.26	0.43	0.78
2002-01-14	-12457.59	0.43	0.77
2002-01-15	-13914.98	0.43	0.76
2002-01-16	-12383.79	0.43	0.77
2002-01-17	-10091.83	0.43	0.76
2002-01-18	-9745.69	0.43	0.76
2002-01-19	-4280.66	0.43	0.77
2002-01-20	-2080.91	0.44	0.83
2002-01-21	4444.89	0.45	0.80
2002-01-22	4901.65	0.45	0.78
2002-01-23	4171.56	0.44	0.77
2002-01-24	9809.41	0.45	0.75
2002-01-25	1977.24	0.45	0.77
2002-01-26	3394.42	0.45	0.79
2002-01-27	16729.49	0.47	0.76
2002-01-28	30357.65	0.47	0.74
2002-01-29	26127.71	0.45	0.73
2002-01-30	30313.36	0.43	0.71
2002-01-31	26795.33	0.41	0.70
2002-02-01	25529.79	0.39	0.68
2002-02-02	26557.61	0.36	0.67
2002-02-03	21380.14	0.34	0.66
2002-02-04	17612.47	0.33	0.65
2002-02-05	21298.20	0.31	0.64
2002-02-06	20626.05	0.29	0.63
2002-02-07	15308.96	0.28	0.71
2002-02-08	12174.67	0.27	0.73
2002-02-09	18954.78	0.27	0.71
2002-02-10	12854.41	0.25	0.73
2002-02-11	16322.88	0.24	0.72
2002-02-12	18955.65	0.21	0.70
2002-02-13	9968.95	0.19	0.80
2002-02-14	-1323.33	0.18	0.79
2002-02-15	-6766.50	0.18	0.78
2002-02-16	-6764.23	0.18	0.78
2002-02-17	-2826.51	0.18	0.77
2002-02-18	-2398.60	0.18	0.76
2002-02-19	-2591.02	0.20	0.84
2002-02-20	-1447.97	0.22	0.86
2002-02-21	-5519.63	0.22	0.87
2002-02-22	-6023.72	0.24	0.88
2002-02-23	-3159.75	0.25	0.88
2002-02-24	-4694.93	0.26	0.88
2002-02-25	-2736.49	0.27	0.88
2002-02-26	5127.61	0.28	0.85
2002-02-27	2199.11	0.28	0.86
2002-02-28	-2056.60	0.29	0.87
2002-03-01	-2351.20	0.29	0.86
2002-03-02	-5084.70	0.29	0.84
2002-03-03	-6477.29	0.29	0.85
2002-03-04	-3274.87	0.29	0.85
2002-03-05	-3606.34	0.29	0.82
2002-03-06	-1718.98	0.29	0.79
2002-03-07	-260.58	0.30	0.85
2002-03-08	-3856.17	0.29	0.83
2002-03-09	-1915.64	0.29	0.81
2002-03-10	-4079.54	0.29	0.80
2002-03-11	-2639.61	0.29	0.78
2002-03-12	1385.53	0.29	0.76
2002-03-13	9994.33	0.29	0.74
2002-03-14	9054.85	0.29	0.75
2002-03-15	10249.54	0.29	0.74
2002-03-16	12953.36	0.29	0.72
2002-03-17	14366.29	0.29	0.71
2002-03-18	20208.12	0.27	0.69
2002-03-19	18221.38	0.24	0.68
2002-03-20	17421.95	0.22	0.67
2002-03-21	13980.26	0.18	0.66
2002-03-22	7036.61	0.19	0.80
2002-03-23	-1615.18	0.21	0.85
2002-03-24	-3085.54	0.21	0.87
2002-03-25	-3294.34	0.21	0.87
2002-03-26	-3079.81	0.21	0.85
2002-03-27	-4520.55	0.21	0.86
2002-03-28	-6040.52	0.21	0.84
2002-03-29	-3131.68	0.21	0.82
2002-03-30	-3575.86	0.21	0.79
2002-03-31	905.08	0.21	0.77
2002-04-01	2286.03	0.21	0.75
2002-04-02	6470.54	0.21	0.73
2002-04-03	7439.31	0.21	0.71
2002-04-04	2730.77	0.21	0.70
2002-04-05	-1885.48	0.21	0.69
2002-04-06	-2312.91	0.21	0.70
2002-04-07	-1908.84	0.21	0.69
2002-04-08	-2917.02	0.21	0.69
2002-04-09	-2100.16	0.21	0.69
2002-04-10	35.22	0.21	0.70
2002-04-11	2258.55	0.21	0.70
2002-04-12	10124.04	0.21	0.68
2002-04-13	14154.34	0.19	0.67
2002-04-14	11747.17	0.18	0.66
2002-04-15	9410.73	0.16	0.68
2002-04-16	9097.06	0.15	0.67
2002-04-17	8152.74	0.14	0.67
2002-04-18	8164.19	0.11	0.66
2002-04-19	5139.54	0.07	0.65
2002-04-20	2461.28	0.03	0.64
2002-04-21	0.00	0.00	0.88
2002-04-22	0.00	0.00	0.88
2002-04-23	0.00	0.00	0.88
2002-04-24	0.00	0.00	0.88
2002-04-25	0.00	0.00	0.88
2002-04-26	0.00	0.00	0.88
2002-04-27	0.00	0.00	0.88
2002-04-28	0.00	0.00	0.88
2002-04-29	0.00	0.00	0.88
2002-04-30	0.00	0.00	0.88
2002-05-01	0.00	0.00	0.88
2002-05-02	0.00	0.00	0.88
2002-05-03	0.00	0.00	0.88
2002-05-04	0.00	0.00	0.88
2002-05-05	0.00	0.00	0.88
2002-05-06	0.00	0.00	0.88
2002-05-07	0.00	0.00	0.88
2002-05-08	0.00	0.00	0.88
2002-05-09	0.00	0.00	0.88
2002-05-10	0.00	0.00	0.88
2002-05-11	0.00	0.00	0.88
2002-05-12	0.00	0.00	0.88
2002-05-13	0.00	0.00	0.88
2002-05-14	0.00	0.00	0.88
2002-05-15	0.00	0.00	0.88
2002-05-16	0.00	0.00	0.88
2002-05-17	0.00	0.00	0.88
2002-05-18	0.00	0.00	0.88
2002-05-19	0.00	0.00	0.88
2002-05-20	0.00	0.00	0.88
2002-05-21	0.00	0.00	0.88
2002-05-22	0.00	0.00	0.88
2002-05-23	0.00	0.00	0.88
2002-05-24	0.00	0.00	0.88
2002-05-25	0.00	0.00	0.88
2002-05-26	0.00	0.00	0.88
2002-05-27	0.00	0.00	0.88
