gof	precipSeconds	a0	a1	kSatSnow	densDrySnow	specCapRet	emissivitySnowMin	emissivitySnowMax	tempAir_crit	albedoMin	albedoMax	agingRate_tAirPos	agingRate_tAirNeg	soilDepth	soilDens	soilSpecHeat	weightAirTemp
0.1255223	86400	4.81546e-05	3.871877e-05	7.740178e-07	450	0.05	0.8000049	0.99	-0.4992458	0.3511268	0.800346	1.109e-06	4.621e-07	0.1	1300	2.182	0.2000821
0.1283712	86400	0.004316821	0.001734090	3.657739e-05	450	0.05	0.8479347	0.99	-0.386634	0.3913454	0.8833146	1.109e-06	4.621e-07	0.1	1300	2.182	0.690046
0.0986495	86400	0.004410873	0.000762578	1.482036e-05	450	0.05	0.8445891	0.99	-0.09048365	0.3547696	0.899307	1.109e-06	4.621e-07	0.1	1300	2.182	0.665508
0.09252746	86400	0.0004895783	0.001718739	5.159419e-05	450	0.05	0.8467434	0.99	-0.2437013	0.5925676	0.889668	1.109e-06	4.621e-07	0.1	1300	2.182	0.5633619
0.07615973	86400	0.003150259	0.0006719664	3.441121e-05	450	0.05	0.8494646	0.99	0.3636861	0.4259465	0.880144	1.109e-06	4.621e-07	0.1	1300	2.182	0.5238612
0.0989013	86400	0.004263381	0.001498239	5.227021e-05	450	0.05	0.8488185	0.99	0.3108788	0.5853595	0.8054686	1.109e-06	4.621e-07	0.1	1300	2.182	0.2372663
0.1166619	86400	0.004011810	0.0008455057	5.134966e-05	450	0.05	0.8020082	0.99	-0.4870718	0.3594301	0.8784091	1.109e-06	4.621e-07	0.1	1300	2.182	0.5433342
0.1085711	86400	0.0002305962	0.0005066336	1.011831e-05	450	0.05	0.8046057	0.99	-0.3291952	0.3550039	0.868657	1.109e-06	4.621e-07	0.1	1300	2.182	0.2837831
0.07307223	86400	0.000920913	0.000795031	5.09052e-05	450	0.05	0.8085933	0.99	0.4922703	0.5917395	0.8877658	1.109e-06	4.621e-07	0.1	1300	2.182	0.2434208
0.1145723	86400	0.003431128	0.0008264002	3.997691e-05	450	0.05	0.802775	0.99	-0.4470441	0.4100248	0.8883792	1.109e-06	4.621e-07	0.1	1300	2.182	0.6096945
