date	sec	swe	alb
2001-12-31	0.00	0.21	0.80
2002-01-01	-2235.79	0.21	0.81
2002-01-02	-2343.40	0.21	0.81
2002-01-03	-7958.37	0.21	0.80
2002-01-04	-9993.07	0.21	0.79
2002-01-05	-10283.27	0.21	0.78
2002-01-06	-3579.53	0.21	0.79
2002-01-07	-961.59	0.21	0.79
2002-01-08	-2168.53	0.21	0.78
2002-01-09	-2840.47	0.21	0.76
2002-01-10	-3541.72	0.21	0.74
2002-01-11	-2001.75	0.21	0.75
2002-01-12	-463.35	0.21	0.77
2002-01-13	-593.74	0.21	0.76
2002-01-14	-3471.33	0.21	0.76
2002-01-15	-4192.94	0.21	0.75
2002-01-16	-1459.54	0.21	0.74
2002-01-17	-1011.99	0.21	0.73
2002-01-18	-572.04	0.21	0.75
2002-01-19	3.29	0.23	0.83
2002-01-20	6935.99	0.24	0.81
2002-01-21	17355.61	0.24	0.78
2002-01-22	14904.65	0.22	0.76
2002-01-23	13044.96	0.20	0.74
2002-01-24	13209.99	0.17	0.73
2002-01-25	7675.98	0.16	0.80
2002-01-26	12352.44	0.14	0.77
2002-01-27	8078.37	0.09	0.75
2002-01-28	2067.96	0.02	0.74
2002-01-29	0.00	0.00	0.88
2002-01-30	0.00	0.00	0.88
2002-01-31	0.00	0.00	0.88
2002-02-01	0.00	0.00	0.88
2002-02-02	0.00	0.00	0.88
2002-02-03	0.00	0.00	0.88
2002-02-04	0.00	0.00	0.88
2002-02-05	0.00	0.00	0.88
2002-02-06	0.00	0.00	0.88
2002-02-07	0.00	0.00	0.88
2002-02-08	0.00	0.00	0.88
2002-02-09	0.00	0.00	0.88
2002-02-10	0.00	0.00	0.88
2002-02-11	0.00	0.00	0.88
2002-02-12	0.00	0.00	0.88
2002-02-13	0.00	0.00	0.88
2002-02-14	0.00	0.00	0.88
2002-02-15	0.00	0.00	0.88
2002-02-16	0.00	0.00	0.88
2002-02-17	0.00	0.00	0.88
2002-02-18	-441.09	0.00	0.88
2002-02-19	-375.66	0.03	0.88
2002-02-20	569.79	0.05	0.88
2002-02-21	-2980.93	0.05	0.88
2002-02-22	-818.29	0.07	0.88
2002-02-23	-929.08	0.08	0.88
2002-02-24	-1490.40	0.09	0.88
2002-02-25	6747.83	0.10	0.85
2002-02-26	5725.71	0.07	0.82
2002-02-27	2459.34	0.05	0.83
2002-02-28	1004.17	0.06	0.84
2002-03-01	-457.36	0.06	0.85
2002-03-02	-4068.76	0.06	0.84
2002-03-03	-1197.45	0.06	0.83
2002-03-04	1293.06	0.06	0.80
2002-03-05	1899.22	0.06	0.78
2002-03-06	3602.17	0.05	0.76
2002-03-07	1610.06	0.02	0.74
2002-03-08	523.25	0.01	0.72
2002-03-09	0.00	0.00	0.88
2002-03-10	0.00	0.00	0.88
2002-03-11	0.00	0.00	0.88
2002-03-12	0.00	0.00	0.88
2002-03-13	0.00	0.00	0.88
2002-03-14	-656.07	0.01	0.88
2002-03-15	-365.57	0.01	0.88
2002-03-16	0.00	0.00	0.88
2002-03-17	0.00	0.00	0.88
2002-03-18	0.00	0.00	0.88
2002-03-19	0.00	0.00	0.88
2002-03-20	0.00	0.00	0.88
2002-03-21	0.00	0.00	0.88
2002-03-22	0.00	0.00	0.88
2002-03-23	0.00	0.00	0.88
2002-03-24	0.00	0.00	0.88
2002-03-25	0.00	0.00	0.88
2002-03-26	0.00	0.00	0.88
2002-03-27	0.00	0.00	0.88
2002-03-28	0.00	0.00	0.88
2002-03-29	0.00	0.00	0.88
2002-03-30	0.00	0.00	0.88
2002-03-31	0.00	0.00	0.88
2002-04-01	0.00	0.00	0.88
2002-04-02	0.00	0.00	0.88
2002-04-03	0.00	0.00	0.88
2002-04-04	0.00	0.00	0.88
2002-04-05	0.00	0.00	0.88
2002-04-06	0.00	0.00	0.88
2002-04-07	0.00	0.00	0.88
2002-04-08	0.00	0.00	0.88
2002-04-09	0.00	0.00	0.88
2002-04-10	0.00	0.00	0.88
2002-04-11	-335.97	0.00	0.85
2002-04-12	0.00	0.00	0.88
2002-04-13	0.00	0.00	0.88
2002-04-14	0.00	0.00	0.88
2002-04-15	0.00	0.00	0.88
2002-04-16	0.00	0.00	0.88
2002-04-17	0.00	0.00	0.88
2002-04-18	0.00	0.00	0.88
2002-04-19	0.00	0.00	0.88
2002-04-20	0.00	0.00	0.88
2002-04-21	0.00	0.00	0.88
2002-04-22	0.00	0.00	0.88
2002-04-23	0.00	0.00	0.88
2002-04-24	0.00	0.00	0.88
2002-04-25	0.00	0.00	0.88
2002-04-26	0.00	0.00	0.88
2002-04-27	0.00	0.00	0.88
2002-04-28	0.00	0.00	0.88
2002-04-29	0.00	0.00	0.88
2002-04-30	0.00	0.00	0.88
2002-05-01	0.00	0.00	0.88
2002-05-02	0.00	0.00	0.88
2002-05-03	0.00	0.00	0.88
2002-05-04	0.00	0.00	0.88
2002-05-05	0.00	0.00	0.88
2002-05-06	0.00	0.00	0.88
2002-05-07	0.00	0.00	0.88
2002-05-08	0.00	0.00	0.88
2002-05-09	0.00	0.00	0.88
2002-05-10	0.00	0.00	0.88
2002-05-11	0.00	0.00	0.88
2002-05-12	0.00	0.00	0.88
2002-05-13	0.00	0.00	0.88
2002-05-14	0.00	0.00	0.88
2002-05-15	0.00	0.00	0.88
2002-05-16	0.00	0.00	0.88
2002-05-17	0.00	0.00	0.88
2002-05-18	0.00	0.00	0.88
2002-05-19	0.00	0.00	0.88
2002-05-20	0.00	0.00	0.88
2002-05-21	0.00	0.00	0.88
2002-05-22	0.00	0.00	0.88
2002-05-23	0.00	0.00	0.88
2002-05-24	0.00	0.00	0.88
2002-05-25	0.00	0.00	0.88
2002-05-26	0.00	0.00	0.88
2002-05-27	0.00	0.00	0.88
2002-05-28	0.00	0.00	0.88
2002-05-29	0.00	0.00	0.88
2002-05-30	0.00	0.00	0.88
2002-05-31	0.00	0.00	0.88
2002-06-01	0.00	0.00	0.88
2002-06-02	0.00	0.00	0.88
2002-06-03	0.00	0.00	0.88
2002-06-04	0.00	0.00	0.88
2002-06-05	0.00	0.00	0.88
2002-06-06	0.00	0.00	0.88
2002-06-07	0.00	0.00	0.88
2002-06-08	0.00	0.00	0.88
2002-06-09	0.00	0.00	0.88
2002-06-10	0.00	0.00	0.88
2002-06-11	0.00	0.00	0.88
2002-06-12	0.00	0.00	0.88
2002-06-13	0.00	0.00	0.88
2002-06-14	0.00	0.00	0.88
2002-06-15	0.00	0.00	0.88
2002-06-16	0.00	0.00	0.88
2002-06-17	0.00	0.00	0.88
2002-06-18	0.00	0.00	0.88
2002-06-19	0.00	0.00	0.88
2002-06-20	0.00	0.00	0.88
2002-06-21	0.00	0.00	0.88
2002-06-22	0.00	0.00	0.88
2002-06-23	0.00	0.00	0.88
2002-06-24	0.00	0.00	0.88
2002-06-25	0.00	0.00	0.88
2002-06-26	0.00	0.00	0.88
2002-06-27	0.00	0.00	0.88
2002-06-28	0.00	0.00	0.88
2002-06-29	0.00	0.00	0.88
2002-06-30	0.00	0.00	0.88
2002-07-01	0.00	0.00	0.88
2002-07-02	0.00	0.00	0.88
2002-07-03	0.00	0.00	0.88
2002-07-04	0.00	0.00	0.88
2002-07-05	0.00	0.00	0.88
2002-07-06	0.00	0.00	0.88
2002-07-07	0.00	0.00	0.88
2002-07-08	0.00	0.00	0.88
2002-07-09	0.00	0.00	0.88
2002-07-10	0.00	0.00	0.88
2002-07-11	0.00	0.00	0.88
2002-07-12	0.00	0.00	0.88
2002-07-13	0.00	0.00	0.88
2002-07-14	0.00	0.00	0.88
2002-07-15	0.00	0.00	0.88
2002-07-16	0.00	0.00	0.88
2002-07-17	0.00	0.00	0.88
2002-07-18	0.00	0.00	0.88
2002-07-19	0.00	0.00	0.88
2002-07-20	0.00	0.00	0.88
2002-07-21	0.00	0.00	0.88
2002-07-22	0.00	0.00	0.88
2002-07-23	0.00	0.00	0.88
2002-07-24	0.00	0.00	0.88
2002-07-25	0.00	0.00	0.88
2002-07-26	0.00	0.00	0.88
2002-07-27	0.00	0.00	0.88
2002-07-28	0.00	0.00	0.88
2002-07-29	0.00	0.00	0.88
2002-07-30	0.00	0.00	0.88
2002-07-31	0.00	0.00	0.88
2002-08-01	0.00	0.00	0.88
2002-08-02	0.00	0.00	0.88
2002-08-03	0.00	0.00	0.88
2002-08-04	0.00	0.00	0.88
2002-08-05	0.00	0.00	0.88
2002-08-06	0.00	0.00	0.88
2002-08-07	0.00	0.00	0.88
2002-08-08	0.00	0.00	0.88
2002-08-09	0.00	0.00	0.88
2002-08-10	0.00	0.00	0.88
2002-08-11	0.00	0.00	0.88
2002-08-12	0.00	0.00	0.88
2002-08-13	0.00	0.00	0.88
2002-08-14	0.00	0.00	0.88
2002-08-15	0.00	0.00	0.88
2002-08-16	0.00	0.00	0.88
2002-08-17	0.00	0.00	0.88
2002-08-18	0.00	0.00	0.88
2002-08-19	0.00	0.00	0.88
2002-08-20	0.00	0.00	0.88
2002-08-21	0.00	0.00	0.88
2002-08-22	0.00	0.00	0.88
2002-08-23	0.00	0.00	0.88
2002-08-24	0.00	0.00	0.88
2002-08-25	0.00	0.00	0.88
2002-08-26	0.00	0.00	0.88
2002-08-27	0.00	0.00	0.88
2002-08-28	0.00	0.00	0.88
2002-08-29	0.00	0.00	0.88
2002-08-30	0.00	0.00	0.88
2002-08-31	0.00	0.00	0.88
2002-09-01	0.00	0.00	0.88
2002-09-02	0.00	0.00	0.88
2002-09-03	0.00	0.00	0.88
2002-09-04	0.00	0.00	0.88
2002-09-05	0.00	0.00	0.88
2002-09-06	0.00	0.00	0.88
2002-09-07	0.00	0.00	0.88
2002-09-08	0.00	0.00	0.88
2002-09-09	0.00	0.00	0.88
2002-09-10	0.00	0.00	0.88
2002-09-11	0.00	0.00	0.88
2002-09-12	0.00	0.00	0.88
2002-09-13	0.00	0.00	0.88
2002-09-14	0.00	0.00	0.88
2002-09-15	0.00	0.00	0.88
2002-09-16	0.00	0.00	0.88
2002-09-17	0.00	0.00	0.88
2002-09-18	0.00	0.00	0.88
2002-09-19	0.00	0.00	0.88
2002-09-20	0.00	0.00	0.88
2002-09-21	0.00	0.00	0.88
2002-09-22	0.00	0.00	0.88
2002-09-23	0.00	0.00	0.88
2002-09-24	0.00	0.00	0.88
2002-09-25	0.00	0.00	0.88
2002-09-26	0.00	0.00	0.88
2002-09-27	0.00	0.00	0.88
2002-09-28	0.00	0.00	0.88
2002-09-29	0.00	0.00	0.88
2002-09-30	0.00	0.00	0.88
2002-10-01	0.00	0.00	0.88
2002-10-02	0.00	0.00	0.88
2002-10-03	0.00	0.00	0.88
2002-10-04	0.00	0.00	0.88
2002-10-05	0.00	0.00	0.88
2002-10-06	0.00	0.00	0.88
2002-10-07	0.00	0.00	0.88
2002-10-08	-803.54	0.00	0.85
2002-10-09	0.00	0.00	0.88
2002-10-10	0.00	0.00	0.88
2002-10-11	0.00	0.00	0.88
2002-10-12	0.00	0.00	0.88
2002-10-13	0.00	0.00	0.88
2002-10-14	0.00	0.00	0.88
2002-10-15	0.00	0.00	0.88
2002-10-16	0.00	0.00	0.88
2002-10-17	0.00	0.00	0.88
2002-10-18	0.00	0.00	0.88
2002-10-19	0.00	0.00	0.88
2002-10-20	0.00	0.00	0.88
2002-10-21	0.00	0.00	0.88
2002-10-22	0.00	0.00	0.88
2002-10-23	0.00	0.00	0.88
2002-10-24	0.00	0.00	0.88
2002-10-25	0.00	0.00	0.88
2002-10-26	0.00	0.00	0.88
2002-10-27	0.00	0.00	0.88
2002-10-28	0.00	0.00	0.88
2002-10-29	0.00	0.00	0.88
2002-10-30	0.00	0.00	0.88
2002-10-31	0.00	0.00	0.88
2002-11-01	0.00	0.00	0.88
2002-11-02	0.00	0.00	0.88
2002-11-03	0.00	0.00	0.88
2002-11-04	0.00	0.00	0.88
2002-11-05	0.00	0.00	0.88
2002-11-06	0.00	0.00	0.88
2002-11-07	247.57	0.01	0.88
2002-11-08	1018.89	0.04	0.88
2002-11-09	2083.67	0.03	0.85
2002-11-10	1975.39	0.03	0.82
2002-11-11	0.00	0.00	0.88
2002-11-12	0.00	0.00	0.88
2002-11-13	0.00	0.00	0.88
2002-11-14	0.00	0.00	0.88
2002-11-15	0.00	0.00	0.88
2002-11-16	0.00	0.00	0.88
2002-11-17	0.00	0.00	0.88
2002-11-18	0.00	0.00	0.88
2002-11-19	0.00	0.00	0.88
2002-11-20	0.00	0.00	0.88
2002-11-21	0.00	0.00	0.88
2002-11-22	0.00	0.00	0.88
2002-11-23	0.00	0.00	0.88
2002-11-24	0.00	0.00	0.88
2002-11-25	0.00	0.00	0.88
2002-11-26	0.00	0.00	0.88
2002-11-27	0.00	0.00	0.88
2002-11-28	0.00	0.00	0.88
2002-11-29	0.00	0.00	0.88
2002-11-30	0.00	0.00	0.88
2002-12-01	0.00	0.00	0.88
2002-12-02	0.00	0.00	0.88
2002-12-03	0.00	0.00	0.88
2002-12-04	-70.20	0.00	0.85
2002-12-05	0.00	0.00	0.88
2002-12-06	0.00	0.00	0.88
2002-12-07	0.00	0.00	0.88
2002-12-08	0.00	0.00	0.88
2002-12-09	0.00	0.00	0.88
2002-12-10	0.00	0.00	0.88
2002-12-11	0.00	0.00	0.88
2002-12-12	0.00	0.00	0.88
2002-12-13	-702.69	0.00	0.85
2002-12-14	8.05	0.00	0.84
2002-12-15	-742.27	0.00	0.84
2002-12-16	35.93	0.00	0.85
2002-12-17	-433.84	0.00	0.84
2002-12-18	-1355.43	0.00	0.82
2002-12-19	-2007.40	0.00	0.81
2002-12-20	-1032.67	0.00	0.80
